Receptor	Ligand	Score(pK)	stdev	Best	NN#1	NN#2	NN#3	NN#4	NN#5	NN#6	NN#7	NN#8	NN#9	NN#10	NN#11	NN#12	NN#13	NN#14	NN#15	NN#16	NN#17	NN#18	NN#19	NN#20
4ipi_protein	4ipi_ligand	5.917	2.44	11.982	8.447	9.517	5.626	1.553	7.215	7.66	5.528	11.982	3.873	5.345	5.411	3.608	5.656	9.116	5.026	5.395	4.748	4.923	4.425		
4isi_protein	4isi_ligand	6.82	1.329	10.112	5.564	7.645	5.943	6.964	7.875	7.194	6.514	7.21	6.123	4.864	6.388	7.177	8.906	10.112	3.958	6.247	7.356	7.165	6.292		
4iva_protein	4iva_ligand	6.477	2.107	10.439	5.404	5.512	6.67	10.439	8.07	7.934	6.184	9.299	7.374	6.171	6.625	1.336	8.977	7.018	3.522	4.722	6.921	4.122	5.547		
4ish_protein	4ish_ligand	8.794	2.375	14.264	8.009	9.257	6.458	11.073	14.264	10.71	8.623	9.892	5.868	9.859	4.652	12.887	6.856	7.027	8.614	8.434	6.96	8.984	10.567		
4ipj_protein	4ipj_ligand	3.995	3.004	12.488	4.168	0.822	2.667	2.12	3.109	10.165	3.368	12.488	3.537	8.219	1.449	3.25	3.227	5.004	3.438	3.648	3.018	2.736	3.276		
4ivb_protein	4ivb_ligand	7.603	2.36	10.715	8.223	5.966	8.493	10.715	8.968	8.24	8.117	10.427	7.307	7.058	7.262	3.204	10.317	8.861	4.105	7.692	7.121	1.651	9.491		
4isu_protein	4isu_ligand	5.593	1.266	7.218	5.153	6.973	6.78	6.542	5.93	5.541	4.484	4.646	4.499	7.173	5.658	5.482	7.218	7.143	5.593	5.742	4.253	3.649	2.721		
4iuo_protein	4iuo_ligand	4.55	1.636	6.587	4.947	6.077	3.727	3.936	6.587	5.696	5.385	4.203	-0.618	2.35	5.828	6.315	5.082	5.745	4.316	4.614	2.897	4.696	4.292		
4ivc_protein	4ivc_ligand	7.941	1.675	12.269	6.575	5.669	7.463	11.114	7.612	8.532	7.503	8.135	6.99	8.524	9.129	8.444	12.269	6.176	8.432	9.541	6.315	7.081	5.938		
4ivd_protein	4ivd_ligand	7.994	2.064	10.741	6.87	6.982	6.9	9.464	8.669	8.991	8.421	8.075	8.138	6.459	10.199	1.362	9.907	9.047	9.41	5.538	7.929	7.464	10.741		
4j7d_protein	4j7d_ligand	9.285	2.751	14.216	10.397	11.589	8.291	6.014	7.945	9.094	8.224	7.489	13.694	8.196	7.444	14.216	4.539	9.768	11.457	10.302	11.597	4.548	12.897		
4ipn_protein	4ipn_ligand	2.551	1.58	6.377	1.796	4.605	3.598	2.873	2.023	2.685	3.802	0.15	2.963	2.71	2.57	3.235	2.034	6.377	1.306	1.308	1.135	-0.833	2.891		
4j7e_protein	4j7e_ligand	7.792	5.474	16.896	12.3	6.51	12.365	0.413	5.128	9.13	9.417	7.05	8.802	6.984	0.085	16.334	-2.974	-0.969	12.619	12.877	7.579	8.395	16.896		
4j93_protein	4j93_ligand	5.992	1.959	9.369	5.465	7.763	0.605	8.131	7.451	7.077	4.588	5.42	3.832	5.036	6.292	7.23	7.12	6.473	7.719	5.71	4.177	6.322	4.051		
4jfk_protein	4jfk_ligand	4.886	4.533	17.428	-0.352	3.433	5.949	0.001	6.895	2.488	8.14	4.903	17.428	10.333	9.884	0.281	1.031	3.622	7.034	-0.707	3.251	0.672	7.915		
4jfm_protein	4jfm_ligand	5.095	2.176	10.458	4.081	2.51	3.159	7.082	4.66	6.821	4.461	4.301	10.458	4.585	5.951	5.355	7.299	5.864	6.13	3.41	4.166	4.129	7.32		
4jal_protein	4jal_ligand	5.654	1.728	10.692	1.841	4.8	5.44	10.692	5.394	5.513	5.413	4.507	5.398	7.208	6.373	5.965	6.776	4.569	5.692	4.922	6.91	5.51	3.312		
4j28_protein	4j28_ligand	5.574	1.671	9.355	8.183	4.949	2.94	6.454	4.054	5.029	5.955	2.045	9.355	3.829	5.977	6.456	5.132	5.653	5.853	4.843	6.9	5.081	5.92		
4jkw_protein	4jkw_ligand	4.988	3.897	15.427	2.861	0.995	4.268	3.962	6.463	9.154	2.77	1.116	2.726	2.608	4.686	6.879	0.059	15.427	5.496	8.723	3.26	10.176	8.163		
4jia_protein	4jia_ligand	8.084	2.066	12.583	8.333	6.743	7.852	9.887	10.891	8.915	8.302	7.159	7.534	3.814	7.071	4.334	11.227	7.547	8.68	6.993	7.417	7.757	12.583		
4jfs_protein	4jfs_ligand	5.49	2.722	14.208	7.059	4.933	4.611	3.025	14.208	5.459	6.669	2.384	8.544	4.301	6.216	6.955	5.393	2.909	2.779	6.194	3.705	2.162	5.417		
4jwk_protein	4jwk_ligand	3.81	2.535	10.205	0.026	5.877	3.535	6.604	5.28	5.18	2.085	1.536	10.205	3.862	4.195	2.856	5.307	0.735	3.553	6.153	0.666	4.647	0.118		
4jn2_protein	4jn2_ligand	7.661	2.046	11.664	11.069	7.787	6.217	2.619	7.611	8.304	8.946	11.664	8.87	5.14	5.286	7.298	6.864	7.042	9.658	9.163	8.315	7.407	7.093		
4jx9_protein	4jx9_ligand	3.079	1.306	5.03	1.084	5.03	3.538	3.767	3.068	3.542	2.122	2.546	2.236	4.48	4.051	3.342	2.658	1.421	0.189	4.098	4.802	3.464	1.768		
4jym_protein	4jym_ligand	3.401	1.873	7.072	5.554	7.072	4.853	2.112	0.998	3.579	3.253	4.811	3.621	1.79	4.831	0.499	0.024	2.125	2.598	4.087	2.654	6.378	3.907		
4jxs_protein	4jxs_ligand	5.386	1.626	9.187	5.059	5.231	5.793	6.659	8.786	5.175	3.278	4.574	5.342	5.937	5.394	3.262	5.883	6.245	4.055	4.138	6.408	2.938	9.187		
4iid_protein	4iid_ligand	5.263	1.953	9.884	4.336	6.365	5.223	5.37	7.855	4.971	1.792	9.884	6.185	3.843	5.573	8.101	2.805	3.617	4.009	2.777	5.402	5.255	5.013		
4iic_protein	4iic_ligand	4.54	1.879	7.918	5.19	2.307	4.685	3.848	7.918	5.181	1.977	2.505	5.89	3.897	4.062	7.664	3.0	4.482	4.957	4.642	4.142	0.86	6.786		
4jyt_protein	4jyt_ligand	9.545	3.36	16.864	9.37	9.889	10.928	10.617	9.626	9.532	5.629	10.945	3.941	14.666	14.015	16.864	4.631	7.116	6.801	6.416	12.869	9.382	7.549		
4iif_protein	4iif_ligand	5.134	2.349	11.161	4.355	6.904	5.058	5.973	9.772	5.328	4.239	11.161	5.317	3.423	2.229	4.868	3.244	2.364	2.457	3.532	5.807	3.209	6.555		
4iie_protein	4iie_ligand	3.209	2.35	7.154	0.727	4.479	6.573	1.091	3.781	0.83	7.154	4.835	3.899	-0.233	7.037	4.392	-0.421	3.996	4.973	3.502	1.512	3.208	2.541		
4jzi_protein	4jzi_ligand	7.465	3.227	18.483	7.671	9.835	9.29	7.671	3.058	7.656	8.518	9.668	6.576	18.483	3.391	3.48	6.936	7.195	6.234	5.5	8.125	6.049	7.268		
4jz1_protein	4jz1_ligand	10.318	2.679	16.951	13.787	10.0	11.107	8.856	11.582	9.453	9.686	8.002	8.363	14.894	12.788	16.951	8.381	10.607	7.746	8.155	8.992	11.606	5.929		
4jyc_protein	4jyc_ligand	5.043	1.912	9.641	9.641	6.239	7.222	4.166	6.028	5.567	2.522	6.713	5.628	4.027	5.058	5.935	1.894	3.069	4.957	2.318	6.786	2.948	5.325		
4k0y_protein	4k0y_ligand	6.799	1.753	10.329	6.024	6.28	6.326	9.038	6.89	4.498	7.483	10.329	7.148	6.518	3.388	4.714	9.043	7.873	6.832	9.168	7.67	4.87	5.717		
4k3h_protein	4k3h_ligand	7.19	3.675	18.459	18.459	1.652	9.186	7.505	7.749	9.511	2.415	7.578	5.439	2.76	7.707	5.391	3.53	7.256	6.662	8.0	6.659	7.863	12.117		
4k4j_protein	4k4j_ligand	7.782	0.955	10.386	8.485	7.611	7.577	7.402	7.891	6.745	7.608	8.774	8.639	8.549	8.378	6.662	10.386	6.536	7.1	6.279	7.312	7.929	8.253		
4jyb_protein	4jyb_ligand	5.666	2.165	9.05	8.066	9.05	0.101	8.152	6.412	5.528	6.044	7.067	5.505	2.546	2.904	6.065	5.519	3.324	4.685	6.557	8.287	5.619	5.632		
4k7i_protein	4k7i_ligand	4.358	4.524	16.689	7.358	16.689	-0.49	2.553	1.074	-0.687	9.96	5.966	1.441	2.476	-0.87	3.501	1.25	-0.432	5.519	3.491	5.912	9.539	9.456		
4k6i_protein	4k6i_ligand	8.286	1.418	11.114	9.432	5.632	6.689	8.271	7.246	7.027	8.334	10.128	8.038	10.134	8.387	6.438	10.09	7.348	9.078	8.594	7.175	8.637	7.923		
4k7n_protein	4k7n_ligand	4.324	3.04	11.385	-0.043	11.385	-0.18	2.786	2.496	1.176	1.414	1.948	5.501	3.925	4.847	5.51	5.778	8.866	8.481	4.897	6.952	1.841	4.486		
4k7o_protein	4k7o_ligand	1.496	2.143	6.255	-0.115	2.178	3.109	6.255	4.539	-0.912	0.732	1.248	0.415	0.895	-0.912	2.628	-0.996	0.901	3.279	1.122	0.016	-0.137	-0.01		
4k55_protein	4k55_ligand	7.399	3.109	12.953	11.338	5.155	5.749	2.399	10.794	10.399	3.319	3.564	7.704	4.987	4.075	5.798	7.343	11.529	6.99	10.85	7.065	9.25	12.953		
4k9y_protein	4k9y_ligand	8.065	1.984	12.338	9.15	6.256	8.696	10.668	8.178	8.651	8.405	11.651	7.655	7.855	6.495	4.499	12.338	7.152	8.127	9.612	7.586	6.084	5.329		
4k18_protein	4k18_ligand	7.841	2.538	12.42	7.58	8.25	10.357	8.411	9.788	3.032	7.556	7.585	7.872	6.278	12.42	9.158	9.206	7.17	0.761	8.638	9.065	10.277	6.372		
4k77_protein	4k77_ligand	6.392	1.356	9.395	5.853	6.682	6.165	5.399	6.153	3.836	4.624	9.395	6.033	6.697	5.781	6.499	4.998	7.812	6.137	7.006	9.29	5.684	7.327		
4kao_protein	4kao_ligand	6.501	1.173	8.983	7.42	5.006	7.989	7.27	6.977	5.908	6.983	7.543	6.142	7.062	5.308	4.978	8.983	6.367	6.31	4.406	7.597	5.402	5.493		
4kb9_protein	4kb9_ligand	9.345	1.524	13.311	7.902	9.963	8.352	7.687	10.143	7.365	12.403	9.668	7.976	8.414	10.523	13.311	8.549	9.058	9.349	9.552	9.392	10.128	7.719		
4kcx_protein	4kcx_ligand	4.921	1.538	7.317	4.217	6.769	6.656	4.286	6.282	5.581	6.256	7.317	3.629	4.484	5.533	2.294	5.597	1.67	4.18	6.448	5.155	2.958	5.104		
4kfq_protein	4kfq_ligand	2.032	2.635	7.6	-0.417	0.666	4.992	-1.392	7.6	2.186	6.487	2.668	4.298	4.148	-0.314	0.292	-0.262	0.022	0.347	-1.053	3.881	0.67	1.23		
4kax_protein	4kax_ligand	6.796	3.711	18.483	9.884	18.483	1.468	2.368	6.197	8.078	1.255	7.08	9.488	7.21	5.097	7.803	6.311	6.251	5.536	3.717	7.937	8.561	8.507		
4km0_protein	4km0_ligand	7.221	2.266	10.961	8.899	8.045	5.966	6.865	6.797	7.551	4.559	9.022	4.588	10.053	10.713	2.102	4.603	6.539	7.351	6.379	6.838	10.961	9.694		
4km2_protein	4km2_ligand	6.058	2.21	11.811	5.593	1.431	6.245	6.621	6.239	7.764	7.046	6.665	5.929	7.757	9.069	5.061	2.972	6.876	5.87	5.275	4.007	11.811	4.913		
4jne_protein	4jne_ligand	6.056	1.492	8.405	6.104	7.082	6.622	3.192	3.661	6.322	4.997	7.056	4.172	4.89	6.995	7.524	7.146	4.618	8.405	6.937	8.075	5.551	7.094		
4kn0_protein	4kn0_ligand	6.539	3.922	18.409	18.409	5.175	3.997	7.103	6.066	5.449	5.845	10.549	10.298	4.855	1.17	12.738	8.481	3.494	3.515	5.687	3.821	4.79	4.899		
4kow_protein	4kow_ligand	5.645	1.528	9.174	6.623	7.775	6.331	9.174	3.825	4.891	3.917	5.504	8.049	6.327	5.01	5.941	2.604	4.86	5.269	6.393	5.015	5.453	5.4		
4kmz_protein	4kmz_ligand	7.905	2.864	12.772	6.021	1.972	6.751	8.669	6.647	9.553	6.291	10.255	11.088	10.188	2.396	9.356	8.699	11.708	6.062	12.772	5.543	7.511	6.485		
4jh0_protein	4jh0_ligand	9.642	5.629	18.469	12.679	13.756	7.545	2.433	11.658	6.196	15.071	18.469	9.772	1.952	6.481	16.267	-1.247	9.301	10.607	10.005	3.912	16.132	17.453		
4kn1_protein	4kn1_ligand	7.199	3.933	18.24	18.24	7.783	5.761	7.986	5.622	5.321	5.721	7.016	10.209	5.055	2.114	16.73	5.81	4.485	5.093	7.623	3.978	7.191	4.747		
4kqp_protein	4kqp_ligand	6.597	1.187	8.527	6.758	7.944	6.78	6.482	5.041	5.302	7.71	7.169	8.527	4.072	8.265	6.882	7.248	6.839	7.032	4.586	6.123	5.519	6.935		
4kz3_protein	4kz3_ligand	5.683	2.811	9.811	2.968	5.043	7.911	8.988	0.374	6.91	8.847	9.811	1.641	6.458	8.496	3.581	7.833	8.866	3.431	4.067	5.817	2.855	2.797		
4kxn_protein	4kxn_ligand	5.97	2.39	10.331	6.776	4.521	4.203	4.37	4.298	1.976	8.72	5.762	5.567	7.931	10.201	6.244	3.251	1.979	5.506	10.331	6.982	5.215	7.081		
4kz4_protein	4kz4_ligand	2.519	2.299	6.617	-0.571	2.233	-0.224	3.504	0.593	0.113	5.181	4.348	1.626	2.395	0.153	3.382	4.377	1.733	4.673	0.219	-0.5	4.943	5.588		
4ksy_protein	4ksy_ligand	5.085	3.892	16.616	5.15	4.305	-1.205	7.751	3.706	1.961	5.726	7.896	9.942	5.321	4.466	6.029	4.446	0.297	-1.09	5.87	16.616	4.344	4.881		
4kz7_protein	4kz7_ligand	3.601	1.769	7.524	3.285	7.524	6.084	1.41	4.191	4.535	3.502	4.606	3.106	2.583	6.797	3.527	2.15	3.456	0.292	2.817	1.281	3.332	3.61		
4kz6_protein	4kz6_ligand	2.526	1.991	6.211	3.898	2.341	-0.992	1.546	1.782	5.841	2.225	5.349	3.476	1.357	2.92	0.382	3.81	6.211	0.207	0.05	3.35	3.971	2.224		
4l4z_protein	4l4z_ligand	3.646	1.751	6.987	3.925	0.118	3.92	3.031	3.93	3.317	5.113	4.24	5.69	4.648	3.33	4.459	-0.155	2.16	2.861	2.06	5.582	4.813	6.987		
4l50_protein	4l50_ligand	5.582	1.22	7.403	5.695	4.668	5.689	3.757	7.046	5.574	5.973	4.502	5.307	6.39	7.403	5.696	4.406	6.098	5.051	2.503	6.954	5.252	6.798		
4lar_protein	4lar_ligand	5.97	2.357	12.769	4.88	8.167	7.987	3.817	6.835	4.273	8.189	7.471	4.66	8.282	3.484	3.134	5.411	5.742	5.631	6.468	12.769	4.072	3.375		
4l51_protein	4l51_ligand	4.352	1.475	7.529	3.237	4.583	4.836	3.72	5.18	3.7	4.376	4.495	3.949	3.661	6.499	3.53	1.216	3.584	4.816	4.597	7.529	4.555	6.888		
4lhv_protein	4lhv_ligand	5.083	1.96	8.128	5.651	5.129	5.607	3.374	6.295	5.898	5.724	7.07	5.559	4.043	4.972	5.954	6.144	6.535	2.079	-1.15	4.6	5.384	8.128		
4l4v_protein	4l4v_ligand	6.411	2.558	10.68	7.66	8.663	10.485	4.225	5.726	6.708	2.378	4.407	7.789	6.359	6.615	1.568	10.68	3.188	5.168	6.351	4.575	7.255	9.514		
4lj5_protein	4lj5_ligand	4.798	1.215	7.765	4.696	4.34	5.847	5.048	6.462	5.283	6.154	4.499	4.276	3.893	4.3	3.569	4.292	4.408	5.243	1.992	7.765	5.483	3.744		
4lj8_protein	4lj8_ligand	4.709	1.334	7.484	4.349	3.488	5.858	3.168	6.201	5.327	6.018	4.375	2.246	4.969	5.913	3.796	4.356	5.165	5.407	2.822	7.484	5.548	3.009		
4l9i_protein	4l9i_ligand	6.64	1.633	9.315	6.964	3.023	6.812	8.016	5.582	5.648	7.6	7.736	7.576	6.725	6.702	7.376	7.2	9.315	5.837	8.199	7.311	7.596	2.854		
4ljh_protein	4ljh_ligand	4.582	2.332	8.191	6.354	7.235	3.96	7.54	1.486	6.236	2.523	2.464	5.543	4.181	7.674	8.191	-0.116	5.327	5.596	1.924	4.757	3.169	2.163		
4lhm_protein	4lhm_ligand	5.786	2.717	11.23	1.547	10.175	5.48	4.733	2.975	4.456	4.93	7.165	6.365	3.122	11.23	4.154	4.548	9.204	6.634	4.383	4.055	10.358	2.977		
4lk7_protein	4lk7_ligand	3.966	1.518	7.132	4.669	4.996	5.567	3.602	1.73	1.544	5.814	4.059	2.27	5.167	7.132	5.555	3.326	4.252	2.785	2.631	2.451	5.18	3.188		
4kiu_protein	4kiu_ligand	7.223	2.118	14.34	5.327	7.425	4.863	4.948	14.34	7.163	8.834	6.981	7.97	7.586	7.501	9.382	4.943	7.042	7.212	6.698	6.978	8.189	5.556		
4ll3_protein	4ll3_ligand	8.113	1.295	11.704	8.557	8.634	10.303	7.747	7.537	6.311	8.623	7.31	11.704	8.327	8.376	9.097	7.787	7.408	6.581	5.897	8.231	8.067	7.913		
4loo_protein	4loo_ligand	7.248	3.259	18.484	18.484	6.237	7.184	8.811	8.645	8.481	6.363	4.981	5.283	2.394	6.841	4.933	9.069	6.781	9.666	3.148	7.234	7.93	6.961		
4lov_protein	4lov_ligand	5.512	2.202	10.957	4.782	2.98	5.913	4.049	6.511	2.938	5.902	4.073	7.367	7.102	5.816	7.349	3.74	6.311	4.16	10.957	5.366	0.87	8.069		
4luz_protein	4luz_ligand	5.503	2.26	8.481	7.767	3.673	0.877	7.114	7.408	5.439	8.268	4.942	6.499	2.29	5.918	3.461	8.481	4.521	3.783	2.41	7.368	7.807	7.696		
4loy_protein	4loy_ligand	8.933	2.891	14.926	10.482	9.17	7.861	6.867	7.246	11.126	14.926	4.753	5.177	9.243	8.009	9.673	7.451	14.706	12.321	4.014	10.277	7.841	8.58		
4loh_protein	4loh_ligand	4.897	3.892	13.077	7.486	4.227	-1.346	7.778	-0.796	1.95	5.708	10.164	9.862	3.62	4.929	6.095	4.372	0.301	-1.345	6.717	13.077	3.478	4.876		
4loi_protein	4loi_ligand	4.994	3.459	11.669	8.668	4.205	-1.158	3.151	-1.48	2.779	5.651	5.092	4.259	4.586	5.096	8.041	4.38	0.307	8.573	10.873	11.669	5.606	4.903		
4ks1_protein	4ks1_ligand	6.334	1.189	10.683	5.425	6.802	6.163	6.207	6.739	6.357	6.46	5.391	6.351	5.585	5.719	6.39	6.198	6.377	4.975	7.24	10.683	5.443	5.302		
4lvt_protein	4lvt_ligand	10.007	3.498	18.465	18.465	12.798	13.344	10.714	6.333	6.228	11.974	12.875	8.894	5.636	14.119	11.643	9.004	8.756	6.046	9.072	13.113	5.374	6.77		
4lrr_protein	4lrr_ligand	1.09	2.557	7.633	-0.21	0.079	4.858	0.028	-0.337	-1.219	7.633	-0.248	-0.184	0.005	-1.409	0.685	0.686	0.157	-0.057	5.9	0.011	0.007	0.266		
4ks4_protein	4ks4_ligand	5.825	1.803	8.75	6.039	6.892	3.484	7.396	7.659	7.994	4.859	5.856	8.139	5.756	6.31	3.572	2.505	6.663	6.258	8.75	3.174	4.101	6.625		
4lxd_protein	4lxd_ligand	7.242	2.789	11.842	6.251	11.842	10.833	8.966	3.459	6.295	8.855	7.445	9.149	1.62	9.356	4.645	6.935	9.632	8.617	1.526	7.387	9.116	6.028		
4lyw_protein	4lyw_ligand	5.04	1.755	9.614	3.295	4.979	4.019	4.474	6.684	3.823	3.802	7.777	4.399	5.258	5.726	3.16	9.614	3.024	6.473	3.22	6.496	5.377	3.289		
4lzr_protein	4lzr_ligand	3.629	1.727	6.533	4.657	5.125	0.131	2.583	4.422	3.21	4.669	6.492	1.78	4.224	6.226	2.167	6.533	2.963	3.69	1.789	2.304	3.474	1.922		
4lzs_protein	4lzs_ligand	2.845	1.744	5.388	3.662	4.454	3.756	0.929	5.388	3.449	2.938	5.295	4.533	0.183	2.82	1.805	5.066	2.64	1.419	0.245	4.495	1.2	2.386		
4ly9_protein	4ly9_ligand	8.958	2.849	12.643	8.189	10.734	7.28	10.877	11.632	9.159	2.345	9.7	4.651	7.773	6.253	12.024	12.643	9.442	7.33	12.455	8.479	11.856	11.098		
4m8e_protein	4m8e_ligand	8.209	1.426	10.519	9.883	6.959	6.552	9.108	8.416	7.407	8.339	8.594	8.902	9.353	7.989	3.87	8.507	7.927	10.519	7.628	7.764	8.045	8.452		
4m0y_protein	4m0y_ligand	4.85	1.732	7.394	4.981	5.048	2.701	2.722	7.394	5.638	3.67	5.366	6.583	-0.007	5.304	4.46	4.292	5.137	4.066	4.124	6.953	5.564	6.783		
4m8h_protein	4m8h_ligand	8.225	1.682	10.791	10.429	6.808	6.096	9.699	8.689	7.237	8.545	8.244	8.811	8.694	7.584	3.862	10.635	8.006	10.791	6.555	7.591	7.908	8.309		
4m7j_protein	4m7j_ligand	4.124	2.057	9.483	4.692	3.07	4.746	4.237	2.572	0.993	9.483	4.53	2.016	3.702	5.965	4.104	5.225	4.16	2.859	5.713	0.907	4.806	6.922		
4m0r_protein	4m0r_ligand	7.487	1.596	10.027	8.713	8.196	6.489	8.229	5.532	2.811	6.972	7.384	9.035	9.553	6.188	6.089	7.28	8.541	8.209	10.027	7.582	8.1	7.302		
4kwg_protein	4kwg_ligand	2.65	2.664	8.264	4.365	6.2	-0.044	-1.63	3.972	2.621	3.871	1.908	-0.867	-0.591	2.818	8.264	0.798	2.118	2.264	0.139	3.834	7.534	2.843		
4m8y_protein	4m8y_ligand	8.901	1.729	11.687	11.19	7.967	8.767	9.505	11.687	4.979	8.995	8.699	8.913	9.716	10.838	8.724	10.773	5.966	8.25	10.719	8.71	8.069	6.446		
4m8x_protein	4m8x_ligand	8.588	2.067	11.765	11.474	9.726	8.861	4.662	10.969	5.429	8.85	11.765	8.372	7.789	9.854	8.764	7.117	6.346	7.43	10.503	7.733	10.497	5.558		
4m12_protein	4m12_ligand	7.637	2.209	11.887	9.621	6.869	6.686	10.263	8.774	6.301	7.65	10.479	8.435	6.481	6.577	2.335	5.775	9.344	8.878	8.958	11.887	5.566	6.241		
4lkk_protein	4lkk_ligand	2.797	1.359	5.64	2.147	5.64	3.331	2.404	1.521	2.779	4.907	2.093	0.852	4.796	4.035	2.827	2.774	2.867	1.052	2.959	0.86	2.18	4.182		
4m14_protein	4m14_ligand	4.532	1.555	6.973	2.068	2.176	4.128	4.068	6.383	5.24	5.077	4.253	6.67	4.472	5.021	3.239	4.591	5.684	4.919	2.176	6.973	5.191	6.333		
4m13_protein	4m13_ligand	8.479	2.018	12.225	9.577	7.215	8.304	11.63	10.511	10.162	11.505	8.421	7.408	7.214	6.746	4.637	8.069	8.424	8.906	12.225	8.351	5.576	6.21		
4kwf_protein	4kwf_ligand	6.432	3.178	11.383	9.812	7.778	8.004	4.82	-0.048	8.473	4.654	9.751	7.719	6.344	0.781	6.028	3.87	11.383	8.448	0.798	9.307	5.816	8.434		
4m0e_protein	4m0e_ligand	7.545	3.191	13.538	3.609	13.538	11.423	6.092	10.603	9.068	5.026	7.345	6.821	6.075	5.482	13.357	6.802	1.793	7.137	4.686	3.941	8.547	9.467		
4mc1_protein	4mc1_ligand	8.856	1.72	11.931	6.125	7.244	9.113	8.565	11.841	6.441	8.972	9.7	7.837	10.822	8.991	9.017	8.529	7.723	6.053	9.211	7.997	11.042	11.931		
4mc2_protein	4mc2_ligand	8.855	1.577	12.159	6.465	7.202	9.403	8.34	12.159	8.58	8.853	9.561	8.306	10.733	11.892	8.935	8.595	7.157	6.185	9.674	8.262	9.004	7.767		
4mc6_protein	4mc6_ligand	7.93	1.679	10.285	2.743	6.778	8.516	7.32	9.981	8.847	7.641	8.911	8.675	10.113	8.526	9.366	7.294	7.909	7.107	6.322	7.251	8.135	10.285		
4lko_protein	4lko_ligand	8.298	6.62	18.484	18.484	9.38	5.007	0.764	5.716	2.924	11.558	18.359	4.768	2.486	2.983	15.807	-1.956	14.621	8.732	11.537	0.509	15.205	17.112		
4m0f_protein	4m0f_ligand	6.972	1.885	10.993	8.946	4.485	8.003	3.63	8.114	8.411	5.213	7.742	7.673	7.441	6.059	8.788	10.993	3.936	6.893	6.263	7.342	8.079	4.518		
4mdn_protein	4mdn_ligand	9.596	2.831	18.481	8.955	10.861	12.409	5.723	6.881	6.598	8.463	9.266	6.995	12.505	9.278	10.332	12.381	10.352	8.904	8.378	8.324	8.611	8.221		
4mc9_protein	4mc9_ligand	8.755	2.198	12.228	2.63	6.843	6.644	8.157	11.822	8.553	8.849	11.146	8.615	10.22	10.685	8.832	8.744	7.17	6.695	8.409	8.395	11.031	12.228		
4mgd_protein	4mgd_ligand	7.422	3.919	15.669	9.548	8.935	6.599	3.589	2.265	10.154	4.108	6.343	6.481	6.693	8.483	15.669	4.893	11.501	11.964	7.017	10.211	-0.176	2.434		
4mmm_protein	4mmm_ligand	3.416	3.317	11.675	-0.189	6.652	-1.086	0.733	1.776	-1.567	-0.07	11.675	4.333	4.975	3.02	5.708	5.497	-1.528	4.024	4.732	4.93	5.985	4.386		
4mhz_protein	4mhz_ligand	1.835	2.576	6.415	-1.238	0.913	5.355	-1.528	-0.834	5.268	6.415	1.455	4.444	5.152	0.096	-0.81	3.591	0.877	-0.001	-0.774	1.439	3.724	-0.184		
4mmp_protein	4mmp_ligand	4.805	1.602	9.43	5.572	1.749	5.434	3.872	4.149	2.852	5.739	4.486	3.227	4.041	3.774	4.256	4.803	6.057	4.484	4.524	5.512	9.43	5.335		
4mme_protein	4mme_ligand	8.087	1.487	11.987	8.02	8.3	7.922	7.357	9.744	8.334	8.95	8.116	8.541	8.526	8.457	8.223	7.761	7.082	5.126	8.599	11.987	6.338	5.274		
4mn3_protein	4mn3_ligand	6.842	1.961	10.337	9.868	2.048	5.966	7.84	7.592	5.882	6.325	8.228	6.186	8.136	5.343	10.337	7.388	9.192	6.301	3.715	6.161	5.581	7.838		
4mr3_protein	4mr3_ligand	4.232	1.216	6.028	4.313	4.215	5.129	6.028	5.335	3.099	2.724	3.869	4.265	5.548	4.696	4.349	4.688	5.654	5.699	1.896	2.978	4.859	2.24		
4mjp_protein	4mjp_ligand	5.216	1.587	9.062	6.166	5.118	3.891	3.816	5.484	3.427	5.117	5.558	6.278	3.308	7.315	5.708	8.151	4.11	3.167	4.791	9.062	5.074	4.335		
4mre_protein	4mre_ligand	0.961	1.421	3.03	-0.976	-0.263	1.188	2.241	2.725	1.668	1.112	0.717	-1.366	2.351	-0.3	-0.086	3.03	-1.703	0.755	1.875	2.32	2.081	2.0		
4mr6_protein	4mr6_ligand	5.064	1.364	7.183	2.962	4.135	4.628	4.066	5.713	5.864	6.77	5.46	5.978	2.987	2.66	7.159	6.36	7.183	6.304	4.677	4.182	5.263	4.5		
4mnp_protein	4mnp_ligand	4.5	1.538	8.533	5.993	0.77	4.607	4.568	2.606	2.978	5.944	4.331	4.168	4.596	5.247	4.532	4.061	5.546	3.347	4.922	4.443	8.533	5.12		
4mrg_protein	4mrg_ligand	2.434	2.181	7.521	1.384	1.045	-0.466	0.595	3.618	3.773	4.583	0.973	0.919	3.223	2.758	5.552	3.052	-0.604	4.423	2.767	1.735	-1.107	2.945		
4mq6_protein	4mq6_ligand	8.189	3.644	13.749	10.561	11.328	7.885	8.598	13.749	10.077	7.432	10.974	9.624	4.797	12.969	11.135	0.349	6.7	6.618	8.167	4.931	1.385	4.668		
4mo4_protein	4mo4_ligand	4.881	1.706	8.216	7.656	4.386	4.313	6.468	4.906	5.1	5.787	4.94	6.463	4.454	2.967	4.16	3.693	1.48	2.946	6.77	5.485	4.785	8.216		
