Receptor	Ligand	DSX_Score_pK	PCS	tors_score	sas_score	hb_scor
3zyf_protein	3zyf_ligand	-70.105	-0.199	0.000	0.000	0.000	
3zze_protein	3zze_ligand	-123.517	-0.182	0.000	0.000	0.000	
3zsx_protein	3zsx_ligand	-129.779	-0.210	0.000	0.000	0.000	
3zll_protein	3zll_ligand	-62.459	-0.197	0.000	0.000	0.000	
3zqe_protein	3zqe_ligand	-72.844	-0.241	0.000	0.000	0.000	
4a4q_protein	4a4q_ligand	-238.559	-0.216	0.000	0.000	0.000	
4a4v_protein	4a4v_ligand	-97.235	-0.191	0.000	0.000	0.000	
3zyu_protein	3zyu_ligand	-103.796	-0.204	0.000	0.000	0.000	
4a6c_protein	4a6c_ligand	-240.659	-0.217	0.000	0.000	0.000	
3zsy_protein	3zsy_ligand	-130.862	-0.218	0.000	0.000	0.000	
3zso_protein	3zso_ligand	-149.122	-0.203	0.000	0.000	0.000	
4abd_protein	4abd_ligand	-81.554	-0.204	0.000	0.000	0.000	
4a7i_protein	4a7i_ligand	-136.535	-0.188	0.000	0.000	0.000	
4ab9_protein	4ab9_ligand	-75.753	-0.184	0.000	0.000	0.000	
3zpu_protein	3zpu_ligand	-236.069	-0.228	0.000	0.000	0.000	
3zt2_protein	3zt2_ligand	-109.729	-0.203	0.000	0.000	0.000	
4abb_protein	4abb_ligand	-61.771	-0.179	0.000	0.000	0.000	
4abh_protein	4abh_ligand	-87.025	-0.214	0.000	0.000	0.000	
4abe_protein	4abe_ligand	-79.531	-0.198	0.000	0.000	0.000	
4a6s_protein	4a6s_ligand	-71.563	-0.204	0.000	0.000	0.000	
3zv7_protein	3zv7_ligand	-63.641	-0.168	0.000	0.000	0.000	
4a4w_protein	4a4w_ligand	-137.346	-0.196	0.000	0.000	0.000	
4aba_protein	4aba_ligand	-58.757	-0.166	0.000	0.000	0.000	
4a6l_protein	4a6l_ligand	-172.487	-0.206	0.000	0.000	0.000	
4a6b_protein	4a6b_ligand	-228.946	-0.209	0.000	0.000	0.000	
4ad3_protein	4ad3_ligand	-98.732	-0.190	0.000	0.000	0.000	
4aci_protein	4aci_ligand	-73.870	-0.189	0.000	0.000	0.000	
4ag8_protein	4ag8_ligand	-152.757	-0.200	0.000	0.000	0.000	
3zt3_protein	3zt3_ligand	-111.260	-0.209	0.000	0.000	0.000	
4afg_protein	4afg_ligand	-97.470	-0.199	0.000	0.000	0.000	
4agc_protein	4agc_ligand	-158.561	-0.202	0.000	0.000	0.000	
4ahs_protein	4ahs_ligand	-57.527	-0.137	0.000	0.000	0.000	
4ahu_protein	4ahu_ligand	-55.233	-0.134	0.000	0.000	0.000	
4abg_protein	4abg_ligand	-85.847	-0.211	0.000	0.000	0.000	
4a95_protein	4a95_ligand	-76.220	-0.132	0.000	0.000	0.000	
4ad6_protein	4ad6_ligand	-53.715	-0.132	0.000	0.000	0.000	
4ad2_protein	4ad2_ligand	-101.411	-0.206	0.000	0.000	0.000	
4alx_protein	4alx_ligand	-126.998	-0.204	0.000	0.000	0.000	
4aoi_protein	4aoi_ligand	-147.639	-0.206	0.000	0.000	0.000	
4aje_protein	4aje_ligand	-53.639	-0.132	0.000	0.000	0.000	
4aqh_protein	4aqh_ligand	-125.402	-0.187	0.000	0.000	0.000	
4acc_protein	4acc_ligand	-113.351	-0.182	0.000	0.000	0.000	
4ase_protein	4ase_ligand	-168.969	-0.198	0.000	0.000	0.000	
4ahr_protein	4ahr_ligand	-58.849	-0.124	0.000	0.000	0.000	
4ap7_protein	4ap7_ligand	-129.296	-0.197	0.000	0.000	0.000	
4asj_protein	4asj_ligand	-123.433	-0.190	0.000	0.000	0.000	
4ajl_protein	4ajl_ligand	-112.727	-0.205	0.000	0.000	0.000	
4abf_protein	4abf_ligand	-61.734	-0.171	0.000	0.000	0.000	
4auj_protein	4auj_ligand	-90.210	-0.190	0.000	0.000	0.000	
4asd_protein	4asd_ligand	-165.336	-0.188	0.000	0.000	0.000	
4arw_protein	4arw_ligand	-97.058	-0.203	0.000	0.000	0.000	
4aji_protein	4aji_ligand	-75.667	-0.162	0.000	0.000	0.000	
4ayq_protein	4ayq_ligand	-53.726	-0.144	0.000	0.000	0.000	
4av5_protein	4av5_ligand	-97.967	-0.186	0.000	0.000	0.000	
4ayu_protein	4ayu_ligand	-41.462	-0.172	0.000	0.000	0.000	
4ax9_protein	4ax9_ligand	-174.151	-0.206	0.000	0.000	0.000	
4ara_protein	4ara_ligand	-99.531	-0.156	0.000	0.000	0.000	
4az5_protein	4az5_ligand	-75.830	-0.168	0.000	0.000	0.000	
4azg_protein	4azg_ligand	-103.791	-0.165	0.000	0.000	0.000	
4b2i_protein	4b2i_ligand	-51.017	-0.185	0.000	0.000	0.000	
4b2l_protein	4b2l_ligand	-61.400	-0.173	0.000	0.000	0.000	
4azb_protein	4azb_ligand	-115.908	-0.187	0.000	0.000	0.000	
4arb_protein	4arb_ligand	-109.290	-0.163	0.000	0.000	0.000	
4aj4_protein	4aj4_ligand	-74.644	-0.167	0.000	0.000	0.000	
4att_protein	4att_ligand	-94.959	-0.200	0.000	0.000	0.000	
4azi_protein	4azi_ligand	-119.284	-0.184	0.000	0.000	0.000	
4b3d_protein	4b3d_ligand	-59.053	-0.220	0.000	0.000	0.000	
4b1j_protein	4b1j_ligand	-204.020	-0.189	0.000	0.000	0.000	
4av4_protein	4av4_ligand	-87.148	-0.182	0.000	0.000	0.000	
4b3b_protein	4b3b_ligand	-116.566	-0.220	0.000	0.000	0.000	
4avs_protein	4avs_ligand	-36.574	-0.151	0.000	0.000	0.000	
4b6r_protein	4b6r_ligand	-115.368	-0.168	0.000	0.000	0.000	
4az6_protein	4az6_ligand	-120.792	-0.180	0.000	0.000	0.000	
4ayp_protein	4ayp_ligand	-119.838	-0.190	0.000	0.000	0.000	
4b0b_protein	4b0b_ligand	-91.455	-0.168	0.000	0.000	0.000	
4azc_protein	4azc_ligand	-70.009	-0.163	0.000	0.000	0.000	
4b7p_protein	4b7p_ligand	-145.715	-0.198	0.000	0.000	0.000	
4b5d_protein	4b5d_ligand	-112.220	-0.207	0.000	0.000	0.000	
4b7j_protein	4b7j_ligand	-82.553	-0.181	0.000	0.000	0.000	
4b6o_protein	4b6o_ligand	-116.324	-0.181	0.000	0.000	0.000	
4b6p_protein	4b6p_ligand	-130.613	-0.157	0.000	0.000	0.000	
4b32_protein	4b32_ligand	-54.621	-0.202	0.000	0.000	0.000	
4b8y_protein	4b8y_ligand	-103.117	-0.146	0.000	0.000	0.000	
4b3c_protein	4b3c_ligand	-54.292	-0.211	0.000	0.000	0.000	
4b9k_protein	4b9k_ligand	-139.322	-0.209	0.000	0.000	0.000	
4bak_protein	4bak_ligand	-199.057	-0.226	0.000	0.000	0.000	
4b33_protein	4b33_ligand	-54.935	-0.188	0.000	0.000	0.000	
4ban_protein	4ban_ligand	-194.559	-0.226	0.000	0.000	0.000	
4b35_protein	4b35_ligand	-54.480	-0.186	0.000	0.000	0.000	
4bam_protein	4bam_ligand	-200.200	-0.237	0.000	0.000	0.000	
4bao_protein	4bao_ligand	-185.991	-0.219	0.000	0.000	0.000	
4b9z_protein	4b9z_ligand	-161.924	-0.190	0.000	0.000	0.000	
4bah_protein	4bah_ligand	-175.936	-0.220	0.000	0.000	0.000	
4baq_protein	4baq_ligand	-198.711	-0.222	0.000	0.000	0.000	
4b34_protein	4b34_ligand	-32.966	-0.112	0.000	0.000	0.000	
4b74_protein	4b74_ligand	-163.909	-0.192	0.000	0.000	0.000	
4bb9_protein	4bb9_ligand	-64.952	-0.135	0.000	0.000	0.000	
4b6s_protein	4b6s_ligand	-125.548	-0.162	0.000	0.000	0.000	
4bcm_protein	4bcm_ligand	-112.029	-0.163	0.000	0.000	0.000	
4bcn_protein	4bcn_ligand	-103.576	-0.176	0.000	0.000	0.000	
4b76_protein	4b76_ligand	-92.506	-0.180	0.000	0.000	0.000	
4bcp_protein	4bcp_ligand	-122.076	-0.177	0.000	0.000	0.000	
4b73_protein	4b73_ligand	-124.199	-0.178	0.000	0.000	0.000	
4bj8_protein	4bj8_ligand	-115.506	-0.198	0.000	0.000	0.000	
4bi7_protein	4bi7_ligand	-49.539	-0.150	0.000	0.000	0.000	
4bi6_protein	4bi6_ligand	-50.898	-0.147	0.000	0.000	0.000	
4bc5_protein	4bc5_ligand	-53.035	-0.161	0.000	0.000	0.000	
4bck_protein	4bck_ligand	-75.672	-0.149	0.000	0.000	0.000	
4b7r_protein	4b7r_ligand	-84.879	-0.187	0.000	0.000	0.000	
4bqh_protein	4bqh_ligand	-131.056	-0.193	0.000	0.000	0.000	
4buq_protein	4buq_ligand	-82.283	-0.190	0.000	0.000	0.000	
4bcs_protein	4bcs_ligand	-107.142	-0.191	0.000	0.000	0.000	
4bqg_protein	4bqg_ligand	-76.747	-0.178	0.000	0.000	0.000	
4c1y_protein	4c1y_ligand	-50.057	-0.192	0.000	0.000	0.000	
4br3_protein	4br3_ligand	-106.708	-0.175	0.000	0.000	0.000	
4bs0_protein	4bs0_ligand	-59.567	-0.147	0.000	0.000	0.000	
4bco_protein	4bco_ligand	-144.147	-0.186	0.000	0.000	0.000	
4c52_protein	4c52_ligand	-138.071	-0.199	0.000	0.000	0.000	
4c1t_protein	4c1t_ligand	-165.819	-0.166	0.000	0.000	0.000	
4bkt_protein	4bkt_ligand	-88.702	-0.211	0.000	0.000	0.000	
4bqs_protein	4bqs_ligand	-78.948	-0.219	0.000	0.000	0.000	
4c6u_protein	4c6u_ligand	-65.634	-0.125	0.000	0.000	0.000	
4c5d_protein	4c5d_ligand	-149.904	-0.196	0.000	0.000	0.000	
4bks_protein	4bks_ligand	-120.577	-0.216	0.000	0.000	0.000	
4btk_protein	4btk_ligand	-104.530	-0.203	0.000	0.000	0.000	
4cg9_protein	4cg9_ligand	-98.307	-0.172	0.000	0.000	0.000	
4cd0_protein	4cd0_ligand	-133.069	-0.202	0.000	0.000	0.000	
4ceb_protein	4ceb_ligand	-155.269	-0.197	0.000	0.000	0.000	
4cgi_protein	4cgi_ligand	-144.022	-0.222	0.000	0.000	0.000	
4cig_protein	4cig_ligand	-139.521	-0.212	0.000	0.000	0.000	
4cfl_protein	4cfl_ligand	-85.589	-0.208	0.000	0.000	0.000	
4cjq_protein	4cjq_ligand	-130.120	-0.207	0.000	0.000	0.000	
4cd4_protein	4cd4_ligand	-95.820	-0.179	0.000	0.000	0.000	
4cga_protein	4cga_ligand	-107.180	-0.182	0.000	0.000	0.000	
4cc5_protein	4cc5_ligand	-54.208	-0.169	0.000	0.000	0.000	
4cjp_protein	4cjp_ligand	-115.208	-0.211	0.000	0.000	0.000	
4clj_protein	4clj_ligand	-126.850	-0.202	0.000	0.000	0.000	
4cjr_protein	4cjr_ligand	-132.730	-0.211	0.000	0.000	0.000	
4cl6_protein	4cl6_ligand	-119.478	-0.182	0.000	0.000	0.000	
4cj4_protein	4cj4_ligand	-121.771	-0.210	0.000	0.000	0.000	
4ck3_protein	4ck3_ligand	-114.995	-0.212	0.000	0.000	0.000	
4cg8_protein	4cg8_ligand	-149.860	-0.192	0.000	0.000	0.000	
4cp5_protein	4cp5_ligand	-70.474	-0.153	0.000	0.000	0.000	
4cpt_protein	4cpt_ligand	-245.166	-0.219	0.000	0.000	0.000	
4cpr_protein	4cpr_ligand	-245.648	-0.215	0.000	0.000	0.000	
4cpy_protein	4cpy_ligand	-89.452	-0.197	0.000	0.000	0.000	
4cp7_protein	4cp7_ligand	-238.180	-0.207	0.000	0.000	0.000	
4cps_protein	4cps_ligand	-227.013	-0.205	0.000	0.000	0.000	
4c9x_protein	4c9x_ligand	-98.894	-0.146	0.000	0.000	0.000	
4cpz_protein	4cpz_ligand	-96.526	-0.160	0.000	0.000	0.000	
4cra_protein	4cra_ligand	-163.025	-0.189	0.000	0.000	0.000	
4cd5_protein	4cd5_ligand	-89.218	-0.147	0.000	0.000	0.000	
4crf_protein	4crf_ligand	-181.871	-0.195	0.000	0.000	0.000	
4css_protein	4css_ligand	-99.942	-0.192	0.000	0.000	0.000	
4csd_protein	4csd_ligand	-75.839	-0.223	0.000	0.000	0.000	
4c2v_protein	4c2v_ligand	-159.651	-0.194	0.000	0.000	0.000	
4cpw_protein	4cpw_ligand	-230.030	-0.213	0.000	0.000	0.000	
4cmo_protein	4cmo_ligand	-116.657	-0.197	0.000	0.000	0.000	
4cr9_protein	4cr9_ligand	-65.360	-0.169	0.000	0.000	0.000	
4cwr_protein	4cwr_ligand	-107.020	-0.190	0.000	0.000	0.000	
4cwq_protein	4cwq_ligand	-113.314	-0.188	0.000	0.000	0.000	
4ciw_protein	4ciw_ligand	-93.062	-0.176	0.000	0.000	0.000	
4crl_protein	4crl_ligand	-134.189	-0.220	0.000	0.000	0.000	
4cr5_protein	4cr5_ligand	-81.463	-0.185	0.000	0.000	0.000	
4cwf_protein	4cwf_ligand	-78.598	-0.188	0.000	0.000	0.000	
4cws_protein	4cws_ligand	-115.586	-0.192	0.000	0.000	0.000	
4c1u_protein	4c1u_ligand	-137.389	-0.184	0.000	0.000	0.000	
4d8z_protein	4d8z_ligand	-62.892	-0.147	0.000	0.000	0.000	
4cst_protein	4cst_ligand	-94.860	-0.182	0.000	0.000	0.000	
4cwo_protein	4cwo_ligand	-105.041	-0.183	0.000	0.000	0.000	
4cwn_protein	4cwn_ligand	-108.187	-0.193	0.000	0.000	0.000	
4cu8_protein	4cu8_ligand	-56.007	-0.143	0.000	0.000	0.000	
4cu7_protein	4cu7_ligand	-54.516	-0.152	0.000	0.000	0.000	
4cwp_protein	4cwp_ligand	-102.443	-0.193	0.000	0.000	0.000	
4d7b_protein	4d7b_ligand	-69.405	-0.164	0.000	0.000	0.000	
4cwt_protein	4cwt_ligand	-122.146	-0.188	0.000	0.000	0.000	
4daf_protein	4daf_ligand	-60.077	-0.145	0.000	0.000	0.000	
4d1j_protein	4d1j_ligand	-45.406	-0.142	0.000	0.000	0.000	
4dcs_protein	4dcs_ligand	-133.171	-0.192	0.000	0.000	0.000	
4da5_protein	4da5_ligand	-83.266	-0.177	0.000	0.000	0.000	
4db7_protein	4db7_ligand	-57.223	-0.136	0.000	0.000	0.000	
4des_protein	4des_ligand	-58.078	-0.121	0.000	0.000	0.000	
4der_protein	4der_ligand	-43.298	-0.108	0.000	0.000	0.000	
4det_protein	4det_ligand	-45.050	-0.118	0.000	0.000	0.000	
4de0_protein	4de0_ligand	-95.227	-0.168	0.000	0.000	0.000	
4ddk_protein	4ddk_ligand	-74.656	-0.181	0.000	0.000	0.000	
4ddm_protein	4ddm_ligand	-41.205	-0.137	0.000	0.000	0.000	
4ddh_protein	4ddh_ligand	-90.124	-0.180	0.000	0.000	0.000	
4dju_protein	4dju_ligand	-89.183	-0.216	0.000	0.000	0.000	
4djo_protein	4djo_ligand	-200.117	-0.212	0.000	0.000	0.000	
4djq_protein	4djq_ligand	-201.079	-0.220	0.000	0.000	0.000	
4djr_protein	4djr_ligand	-184.169	-0.201	0.000	0.000	0.000	
4crb_protein	4crb_ligand	-174.879	-0.185	0.000	0.000	0.000	
4dew_protein	4dew_ligand	-19.118	-0.043	0.000	0.000	0.000	
4dko_protein	4dko_ligand	-96.758	-0.166	0.000	0.000	0.000	
4dfg_protein	4dfg_ligand	-217.538	-0.217	0.000	0.000	0.000	
4d3h_protein	4d3h_ligand	-164.898	-0.188	0.000	0.000	0.000	
4djx_protein	4djx_ligand	-98.928	-0.183	0.000	0.000	0.000	
4djy_protein	4djy_ligand	-114.509	-0.189	0.000	0.000	0.000	
4djw_protein	4djw_ligand	-106.556	-0.195	0.000	0.000	0.000	
4czs_protein	4czs_ligand	-171.361	-0.191	0.000	0.000	0.000	
4dbm_protein	4dbm_ligand	-104.301	-0.184	0.000	0.000	0.000	
4dkp_protein	4dkp_ligand	-106.437	-0.183	0.000	0.000	0.000	
4dld_protein	4dld_ligand	-98.195	-0.169	0.000	0.000	0.000	
4dkq_protein	4dkq_ligand	-109.617	-0.166	0.000	0.000	0.000	
4dst_protein	4dst_ligand	-39.816	-0.152	0.000	0.000	0.000	
4deu_protein	4deu_ligand	-67.337	-0.145	0.000	0.000	0.000	
4dmw_protein	4dmw_ligand	-85.715	-0.157	0.000	0.000	0.000	
4de5_protein	4de5_ligand	-55.987	-0.168	0.000	0.000	0.000	
4dsu_protein	4dsu_ligand	-58.059	-0.217	0.000	0.000	0.000	
4djp_protein	4djp_ligand	-203.963	-0.218	0.000	0.000	0.000	
4djv_protein	4djv_ligand	-122.955	-0.197	0.000	0.000	0.000	
4dy6_protein	4dy6_ligand	-162.333	-0.176	0.000	0.000	0.000	
4e67_protein	4e67_ligand	-197.787	-0.212	0.000	0.000	0.000	
4dzy_protein	4dzy_ligand	-86.925	-0.206	0.000	0.000	0.000	
4dq2_protein	4dq2_ligand	-215.724	-0.190	0.000	0.000	0.000	
4e4l_protein	4e4l_ligand	-132.804	-0.207	0.000	0.000	0.000	
4dkr_protein	4dkr_ligand	-110.547	-0.186	0.000	0.000	0.000	
4do5_protein	4do5_ligand	-54.714	-0.155	0.000	0.000	0.000	
4e7r_protein	4e7r_ligand	-181.547	-0.206	0.000	0.000	0.000	
4e6q_protein	4e6q_ligand	-143.642	-0.219	0.000	0.000	0.000	
4e4n_protein	4e4n_ligand	-145.132	-0.225	0.000	0.000	0.000	
4e0x_protein	4e0x_ligand	-92.090	-0.196	0.000	0.000	0.000	
4duh_protein	4duh_ligand	-132.358	-0.193	0.000	0.000	0.000	
4e1k_protein	4e1k_ligand	-131.396	-0.193	0.000	0.000	0.000	
4ei4_protein	4ei4_ligand	-114.980	-0.218	0.000	0.000	0.000	
4e5w_protein	4e5w_ligand	-171.454	-0.227	0.000	0.000	0.000	
4e70_protein	4e70_ligand	-81.838	-0.209	0.000	0.000	0.000	
4ef6_protein	4ef6_ligand	-91.628	-0.189	0.000	0.000	0.000	
4efk_protein	4efk_ligand	-55.199	-0.171	0.000	0.000	0.000	
4eb8_protein	4eb8_ligand	-122.370	-0.196	0.000	0.000	0.000	
4emf_protein	4emf_ligand	-104.636	-0.160	0.000	0.000	0.000	
4egk_protein	4egk_ligand	-92.977	-0.160	0.000	0.000	0.000	
4ek9_protein	4ek9_ligand	-141.398	-0.208	0.000	0.000	0.000	
4elh_protein	4elh_ligand	-149.685	-0.184	0.000	0.000	0.000	
4eoh_protein	4eoh_ligand	-47.091	-0.151	0.000	0.000	0.000	
4e6d_protein	4e6d_ligand	-128.020	-0.203	0.000	0.000	0.000	
4epy_protein	4epy_ligand	-110.572	-0.221	0.000	0.000	0.000	
4er2_protein	4er2_ligand	-189.821	-0.214	0.000	0.000	0.000	
4erf_protein	4erf_ligand	-95.415	-0.180	0.000	0.000	0.000	
4ej8_protein	4ej8_ligand	-36.754	-0.164	0.000	0.000	0.000	
4emr_protein	4emr_ligand	-111.198	-0.149	0.000	0.000	0.000	
4en4_protein	4en4_ligand	-54.363	-0.170	0.000	0.000	0.000	
4elg_protein	4elg_ligand	-170.131	-0.188	0.000	0.000	0.000	
4elf_protein	4elf_ligand	-176.229	-0.190	0.000	0.000	0.000	
4eo6_protein	4eo6_ligand	-108.942	-0.236	0.000	0.000	0.000	
4ejl_protein	4ejl_ligand	-54.306	-0.203	0.000	0.000	0.000	
4eo8_protein	4eo8_ligand	-107.683	-0.235	0.000	0.000	0.000	
4euo_protein	4euo_ligand	-53.681	-0.175	0.000	0.000	0.000	
4er1_protein	4er1_ligand	-235.982	-0.207	0.000	0.000	0.000	
4eu0_protein	4eu0_ligand	-85.563	-0.154	0.000	0.000	0.000	
4ezx_protein	4ezx_ligand	-175.787	-0.208	0.000	0.000	0.000	
4ewn_protein	4ewn_ligand	-89.016	-0.191	0.000	0.000	0.000	
4etz_protein	4etz_ligand	-82.359	-0.140	0.000	0.000	0.000	
4ezr_protein	4ezr_ligand	-217.735	-0.204	0.000	0.000	0.000	
4ew2_protein	4ew2_ligand	-132.153	-0.200	0.000	0.000	0.000	
4f6u_protein	4f6u_ligand	-176.432	-0.216	0.000	0.000	0.000	
4ehz_protein	4ehz_ligand	-107.515	-0.210	0.000	0.000	0.000	
4ezz_protein	4ezz_ligand	-212.917	-0.211	0.000	0.000	0.000	
4eor_protein	4eor_ligand	-139.567	-0.201	0.000	0.000	0.000	
4f7v_protein	4f7v_ligand	-181.561	-0.169	0.000	0.000	0.000	
4fcq_protein	4fcq_ligand	-82.313	-0.138	0.000	0.000	0.000	
4f09_protein	4f09_ligand	-103.580	-0.218	0.000	0.000	0.000	
4f0c_protein	4f0c_ligand	-126.052	-0.140	0.000	0.000	0.000	
4f9y_protein	4f9y_ligand	-108.998	-0.202	0.000	0.000	0.000	
4f3c_protein	4f3c_ligand	-136.807	-0.172	0.000	0.000	0.000	
4f2w_protein	4f2w_ligand	-123.349	-0.172	0.000	0.000	0.000	
4f6w_protein	4f6w_ligand	-222.609	-0.207	0.000	0.000	0.000	
4fk6_protein	4fk6_ligand	-140.069	-0.216	0.000	0.000	0.000	
4f1l_protein	4f1l_ligand	-91.466	-0.165	0.000	0.000	0.000	
4fxq_protein	4fxq_ligand	-123.628	-0.185	0.000	0.000	0.000	
4flp_protein	4flp_ligand	-97.268	-0.198	0.000	0.000	0.000	
4fzj_protein	4fzj_ligand	-22.279	-0.110	0.000	0.000	0.000	
4g0q_protein	4g0q_ligand	-60.630	-0.160	0.000	0.000	0.000	
4g0p_protein	4g0p_ligand	-60.494	-0.159	0.000	0.000	0.000	
4f3k_protein	4f3k_ligand	-135.746	-0.167	0.000	0.000	0.000	
4fs4_protein	4fs4_ligand	-109.144	-0.194	0.000	0.000	0.000	
4fxp_protein	4fxp_ligand	-123.513	-0.175	0.000	0.000	0.000	
4fht_protein	4fht_ligand	-70.913	-0.159	0.000	0.000	0.000	
4g5f_protein	4g5f_ligand	-57.632	-0.169	0.000	0.000	0.000	
4g8n_protein	4g8n_ligand	-86.565	-0.194	0.000	0.000	0.000	
4fys_protein	4fys_ligand	-180.428	-0.198	0.000	0.000	0.000	
4g4p_protein	4g4p_ligand	-85.309	-0.213	0.000	0.000	0.000	
4g8y_protein	4g8y_ligand	-99.780	-0.182	0.000	0.000	0.000	
4g8v_protein	4g8v_ligand	-78.079	-0.136	0.000	0.000	0.000	
4g0z_protein	4g0z_ligand	-66.927	-0.162	0.000	0.000	0.000	
4g95_protein	4g95_ligand	-94.545	-0.177	0.000	0.000	0.000	
4gfm_protein	4gfm_ligand	-92.159	-0.201	0.000	0.000	0.000	
4gah_protein	4gah_ligand	-184.741	-0.190	0.000	0.000	0.000	
4fp1_protein	4fp1_ligand	-49.883	-0.146	0.000	0.000	0.000	
4ge1_protein	4ge1_ligand	-61.157	-0.199	0.000	0.000	0.000	
4gfo_protein	4gfo_ligand	-89.489	-0.193	0.000	0.000	0.000	
4ggz_protein	4ggz_ligand	-114.730	-0.196	0.000	0.000	0.000	
4fev_protein	4fev_ligand	-86.811	-0.197	0.000	0.000	0.000	
4g8m_protein	4g8m_ligand	-84.869	-0.196	0.000	0.000	0.000	
4gj2_protein	4gj2_ligand	-117.399	-0.199	0.000	0.000	0.000	
4f5y_protein	4f5y_ligand	-146.566	-0.170	0.000	0.000	0.000	
4gg7_protein	4gg7_ligand	-144.230	-0.187	0.000	0.000	0.000	
4fl1_protein	4fl1_ligand	-100.888	-0.188	0.000	0.000	0.000	
4fsl_protein	4fsl_ligand	-139.525	-0.180	0.000	0.000	0.000	
4g90_protein	4g90_ligand	-83.460	-0.149	0.000	0.000	0.000	
4gih_protein	4gih_ligand	-107.201	-0.191	0.000	0.000	0.000	
4ffs_protein	4ffs_ligand	-142.811	-0.182	0.000	0.000	0.000	
4g0y_protein	4g0y_ligand	-76.626	-0.191	0.000	0.000	0.000	
4fl2_protein	4fl2_ligand	-111.838	-0.146	0.000	0.000	0.000	
4gny_protein	4gny_ligand	-71.518	-0.214	0.000	0.000	0.000	
4ghi_protein	4ghi_ligand	-94.822	-0.154	0.000	0.000	0.000	
4gii_protein	4gii_ligand	-113.980	-0.194	0.000	0.000	0.000	
4gu6_protein	4gu6_ligand	-131.245	-0.186	0.000	0.000	0.000	
4gqr_protein	4gqr_ligand	-54.916	-0.126	0.000	0.000	0.000	
4gid_protein	4gid_ligand	-247.649	-0.187	0.000	0.000	0.000	
4gkm_protein	4gkm_ligand	-88.290	-0.167	0.000	0.000	0.000	
4gq4_protein	4gq4_ligand	-103.519	-0.178	0.000	0.000	0.000	
4gqq_protein	4gqq_ligand	-53.351	-0.159	0.000	0.000	0.000	
4gqp_protein	4gqp_ligand	-74.693	-0.191	0.000	0.000	0.000	
4h42_protein	4h42_ligand	-61.446	-0.134	0.000	0.000	0.000	
4h75_protein	4h75_ligand	-176.615	-0.193	0.000	0.000	0.000	
4h3f_protein	4h3f_ligand	-156.052	-0.197	0.000	0.000	0.000	
4gue_protein	4gue_ligand	-118.582	-0.180	0.000	0.000	0.000	
4gzp_protein	4gzp_ligand	-72.591	-0.160	0.000	0.000	0.000	
4h3g_protein	4h3g_ligand	-130.347	-0.189	0.000	0.000	0.000	
4h3j_protein	4h3j_ligand	-143.179	-0.203	0.000	0.000	0.000	
4gzx_protein	4gzx_ligand	-59.725	-0.132	0.000	0.000	0.000	
4hdb_protein	4hdb_ligand	-197.852	-0.198	0.000	0.000	0.000	
4gzt_protein	4gzt_ligand	-59.372	-0.144	0.000	0.000	0.000	
4heg_protein	4heg_ligand	-195.609	-0.201	0.000	0.000	0.000	
4h85_protein	4h85_ligand	-58.801	-0.190	0.000	0.000	0.000	
4hfp_protein	4hfp_ligand	-144.625	-0.200	0.000	0.000	0.000	
4hbm_protein	4hbm_ligand	-120.493	-0.207	0.000	0.000	0.000	
4hdf_protein	4hdf_ligand	-190.875	-0.201	0.000	0.000	0.000	
4hp0_protein	4hp0_ligand	-162.591	-0.192	0.000	0.000	0.000	
4hj2_protein	4hj2_ligand	-140.639	-0.156	0.000	0.000	0.000	
4hw3_protein	4hw3_ligand	-122.512	-0.195	0.000	0.000	0.000	
4hy1_protein	4hy1_ligand	-125.285	-0.187	0.000	0.000	0.000	
4gu9_protein	4gu9_ligand	-85.731	-0.218	0.000	0.000	0.000	
4i7j_protein	4i7j_ligand	-44.811	-0.224	0.000	0.000	0.000	
4hzm_protein	4hzm_ligand	-54.898	-0.174	0.000	0.000	0.000	
4h81_protein	4h81_ligand	-80.874	-0.201	0.000	0.000	0.000	
4ha5_protein	4ha5_ligand	-89.964	-0.196	0.000	0.000	0.000	
4hge_protein	4hge_ligand	-126.211	-0.204	0.000	0.000	0.000	
4i7l_protein	4i7l_ligand	-49.951	-0.208	0.000	0.000	0.000	
4gj3_protein	4gj3_ligand	-116.788	-0.190	0.000	0.000	0.000	
4hla_protein	4hla_ligand	-188.305	-0.205	0.000	0.000	0.000	
4h7q_protein	4h7q_ligand	-51.680	-0.164	0.000	0.000	0.000	
4i3z_protein	4i3z_ligand	-98.091	-0.176	0.000	0.000	0.000	
4i5c_protein	4i5c_ligand	-134.114	-0.211	0.000	0.000	0.000	
4gzw_protein	4gzw_ligand	-69.088	-0.144	0.000	0.000	0.000	
4i7p_protein	4i7p_ligand	-43.524	-0.209	0.000	0.000	0.000	
4hdp_protein	4hdp_ligand	-202.784	-0.206	0.000	0.000	0.000	
4i7k_protein	4i7k_ligand	-52.900	-0.219	0.000	0.000	0.000	
4hym_protein	4hym_ligand	-111.759	-0.168	0.000	0.000	0.000	
4i7m_protein	4i7m_ligand	-64.115	-0.190	0.000	0.000	0.000	
4hpi_protein	4hpi_ligand	-136.306	-0.203	0.000	0.000	0.000	
4i8n_protein	4i8n_ligand	-97.168	-0.160	0.000	0.000	0.000	
4i9h_protein	4i9h_ligand	-162.234	-0.160	0.000	0.000	0.000	
