Receptor	Ligand	DV20_Score_pK
4ahs_protein	4ahs_ligand	3.510000
4ai5_protein	4ai5_ligand	3.010000
4aia_protein	4aia_ligand	3.540000
4ahu_protein	4ahu_ligand	4.110000
3vdb_protein	3vdb_ligand	2.740000
4afg_protein	4afg_ligand	7.200000
4aoi_protein	4aoi_ligand	9.690000
4ap7_protein	4ap7_ligand	8.200000
4app_protein	4app_ligand	7.090000
4aq4_protein	4aq4_ligand	5.410000
4aqh_protein	4aqh_ligand	6.890000
4asd_protein	4asd_ligand	9.290000
4ase_protein	4ase_ligand	9.920000
4att_protein	4att_ligand	6.390000
4alx_protein	4alx_ligand	8.070000
4auj_protein	4auj_ligand	6.640000
4aje_protein	4aje_ligand	3.240000
4aj4_protein	4aj4_ligand	3.500000
4av4_protein	4av4_ligand	5.660000
4aji_protein	4aji_ligand	3.550000
4ajl_protein	4ajl_ligand	5.430000
4asj_protein	4asj_ligand	7.660000
4av5_protein	4av5_ligand	6.940000
4avh_protein	4avh_ligand	5.740000
4avi_protein	4avi_ligand	6.130000
4ara_protein	4ara_ligand	6.750000
4arb_protein	4arb_ligand	6.880000
4avj_protein	4avj_ligand	5.130000
4arw_protein	4arw_ligand	6.230000
4ax9_protein	4ax9_ligand	8.290000
4ayp_protein	4ayp_ligand	5.080000
4ayq_protein	4ayq_ligand	4.690000
4az6_protein	4az6_ligand	7.470000
4b0b_protein	4b0b_ligand	5.370000
4avs_protein	4avs_ligand	2.820000
4azc_protein	4azc_ligand	5.350000
4azg_protein	4azg_ligand	6.540000
4b2i_protein	4b2i_ligand	3.370000
4azi_protein	4azi_ligand	7.100000
4b1j_protein	4b1j_ligand	6.730000
4b2l_protein	4b2l_ligand	3.830000
4axd_protein	4axd_ligand	4.530000
4ayu_protein	4ayu_ligand	3.530000
4az5_protein	4az5_ligand	5.410000
4azb_protein	4azb_ligand	6.750000
4b3b_protein	4b3b_ligand	5.340000
4b3c_protein	4b3c_ligand	3.170000
4b3d_protein	4b3d_ligand	3.150000
4b7p_protein	4b7p_ligand	7.820000
4aq6_protein	4aq6_ligand	4.880000
4b6r_protein	4b6r_ligand	5.820000
4b8y_protein	4b8y_ligand	7.160000
4b32_protein	4b32_ligand	3.620000
4b9k_protein	4b9k_ligand	8.070000
4b5d_protein	4b5d_ligand	6.310000
4b33_protein	4b33_ligand	3.860000
4b9z_protein	4b9z_ligand	4.470000
4b34_protein	4b34_ligand	2.240000
4b35_protein	4b35_ligand	3.700000
4b5t_protein	4b5t_ligand	3.100000
4b5s_protein	4b5s_ligand	4.080000
4b5w_protein	4b5w_ligand	3.170000
4bak_protein	4bak_ligand	8.520000
4bah_protein	4bah_ligand	7.950000
4b6o_protein	4b6o_ligand	6.740000
4b6p_protein	4b6p_ligand	7.510000
4b7j_protein	4b7j_ligand	7.560000
4bam_protein	4bam_ligand	8.540000
4b7r_protein	4b7r_ligand	7.640000
4ban_protein	4ban_ligand	8.300000
4bao_protein	4bao_ligand	8.110000
4baq_protein	4baq_ligand	8.140000
4b6s_protein	4b6s_ligand	7.320000
4b73_protein	4b73_ligand	6.600000
4b76_protein	4b76_ligand	4.750000
4b74_protein	4b74_ligand	7.460000
4bc5_protein	4bc5_ligand	4.070000
4bb9_protein	4bb9_ligand	5.060000
4bps_protein	4bps_ligand	0.000000
4bf1_protein	4bf1_ligand	6.840000
4bf6_protein	4bf6_ligand	6.890000
4bcs_protein	4bcs_ligand	6.990000
4bcn_protein	4bcn_ligand	6.190000
4bcm_protein	4bcm_ligand	6.440000
4bco_protein	4bco_ligand	7.380000
4bck_protein	4bck_ligand	6.320000
4bcp_protein	4bcp_ligand	6.750000
4bi6_protein	4bi6_ligand	3.460000
4bi7_protein	4bi7_ligand	3.830000
4bks_protein	4bks_ligand	6.360000
4bj8_protein	4bj8_ligand	6.760000
4bkt_protein	4bkt_ligand	5.210000
4bqg_protein	4bqg_ligand	6.410000
4bqs_protein	4bqs_ligand	4.570000
4bs0_protein	4bs0_ligand	4.820000
4buq_protein	4buq_ligand	5.340000
4bqh_protein	4bqh_ligand	7.420000
4bup_protein	4bup_ligand	5.450000
4btk_protein	4btk_ligand	6.420000
4bt3_protein	4bt3_ligand	2.850000
4bt5_protein	4bt5_ligand	2.610000
4bt4_protein	4bt4_ligand	2.810000
4bny_protein	4bny_ligand	7.570000
4br3_protein	4br3_ligand	6.250000
4c2v_protein	4c2v_ligand	6.960000
4c1t_protein	4c1t_ligand	6.540000
4c1u_protein	4c1u_ligand	6.450000
4c1y_protein	4c1y_ligand	3.730000
4c5d_protein	4c5d_ligand	7.400000
4c9x_protein	4c9x_ligand	6.210000
4c52_protein	4c52_ligand	6.860000
4c6u_protein	4c6u_ligand	4.240000
4cc5_protein	4cc5_ligand	3.400000
4cd0_protein	4cd0_ligand	7.350000
4cd4_protein	4cd4_ligand	5.860000
4cfl_protein	4cfl_ligand	6.180000
4cd5_protein	4cd5_ligand	4.560000
4ca5_protein	4ca5_ligand	8.160000
4ca7_protein	4ca7_ligand	7.950000
4ceb_protein	4ceb_ligand	5.920000
4ca6_protein	4ca6_ligand	7.660000
4ca8_protein	4ca8_ligand	6.970000
4cg9_protein	4cg9_ligand	6.440000
4cgi_protein	4cgi_ligand	5.300000
4cig_protein	4cig_ligand	5.820000
4cg8_protein	4cg8_ligand	7.590000
4cj4_protein	4cj4_ligand	6.290000
4cjp_protein	4cjp_ligand	5.720000
4cga_protein	4cga_ligand	6.290000
4cjr_protein	4cjr_ligand	6.720000
4cjq_protein	4cjq_ligand	6.040000
4ck3_protein	4ck3_ligand	5.450000
4cl6_protein	4cl6_ligand	7.010000
4clj_protein	4clj_ligand	9.020000
4cmo_protein	4cmo_ligand	6.610000
4cp5_protein	4cp5_ligand	3.840000
4cp7_protein	4cp7_ligand	7.030000
4cpr_protein	4cpr_ligand	6.990000
4cps_protein	4cps_ligand	8.020000
4cpt_protein	4cpt_ligand	8.830000
4cpw_protein	4cpw_ligand	9.200000
4crb_protein	4crb_ligand	7.480000
4cra_protein	4cra_ligand	7.440000
4crc_protein	4crc_ligand	8.080000
4cr5_protein	4cr5_ligand	4.920000
4crf_protein	4crf_ligand	7.990000
4cr9_protein	4cr9_ligand	4.600000
4css_protein	4css_ligand	6.720000
4csd_protein	4csd_ligand	5.190000
4cst_protein	4cst_ligand	7.030000
4cpy_protein	4cpy_ligand	6.770000
4cpz_protein	4cpz_ligand	7.380000
4ciw_protein	4ciw_ligand	5.740000
4crl_protein	4crl_ligand	7.850000
4cs9_protein	4cs9_ligand	2.690000
4cwo_protein	4cwo_ligand	7.280000
4cwp_protein	4cwp_ligand	8.040000
4cwq_protein	4cwq_ligand	7.930000
4cwr_protein	4cwr_ligand	8.300000
4cu7_protein	4cu7_ligand	5.370000
4cws_protein	4cws_ligand	7.650000
4cwf_protein	4cwf_ligand	6.300000
4cwn_protein	4cwn_ligand	7.760000
4cwt_protein	4cwt_ligand	7.770000
4cu8_protein	4cu8_ligand	5.350000
4d3h_protein	4d3h_ligand	8.150000
4d4d_protein	4d4d_ligand	5.050000
4d1j_protein	4d1j_ligand	3.930000
4d7b_protein	4d7b_ligand	5.800000
4czs_protein	4czs_ligand	5.780000
4d8z_protein	4d8z_ligand	5.420000
4de0_protein	4de0_ligand	7.030000
4de1_protein	4de1_ligand	7.010000
4dcs_protein	4dcs_ligand	6.240000
4daf_protein	4daf_ligand	4.970000
4de2_protein	4de2_ligand	6.970000
4db7_protein	4db7_ligand	5.090000
4ddh_protein	4ddh_ligand	4.010000
4ddk_protein	4ddk_ligand	3.930000
4ddm_protein	4ddm_ligand	2.660000
4da5_protein	4da5_ligand	5.680000
4de5_protein	4de5_ligand	3.880000
4der_protein	4der_ligand	4.260000
4des_protein	4des_ligand	3.430000
4dfg_protein	4dfg_ligand	9.960000
4dbm_protein	4dbm_ligand	5.620000
4dff_protein	4dff_ligand	6.280000
4det_protein	4det_ligand	4.320000
4djo_protein	4djo_ligand	9.700000
4djp_protein	4djp_ligand	9.600000
4djr_protein	4djr_ligand	7.620000
4dew_protein	4dew_ligand	1.050000
4djq_protein	4djq_ligand	9.460000
4deu_protein	4deu_ligand	5.100000
4dju_protein	4dju_ligand	5.720000
4djv_protein	4djv_ligand	7.330000
4djw_protein	4djw_ligand	6.650000
4del_protein	4del_ligand	5.930000
4dhl_protein	4dhl_ligand	2.890000
4djx_protein	4djx_ligand	6.860000
4dko_protein	4dko_ligand	6.570000
4djy_protein	4djy_ligand	7.250000
4dkp_protein	4dkp_ligand	6.260000
4dkq_protein	4dkq_ligand	7.290000
4dkr_protein	4dkr_ligand	6.690000
4dst_protein	4dst_ligand	3.480000
4dld_protein	4dld_ligand	5.820000
4dmw_protein	4dmw_ligand	4.920000
4dsu_protein	4dsu_ligand	3.450000
4dq2_protein	4dq2_ligand	7.480000
4duh_protein	4duh_ligand	6.590000
4do4_protein	4do4_ligand	5.700000
4do5_protein	4do5_ligand	5.390000
4e3g_protein	4e3g_ligand	3.490000
4e4l_protein	4e4l_ligand	8.220000
4dv8_protein	4dv8_ligand	7.800000
4e4n_protein	4e4n_ligand	7.660000
4e6q_protein	4e6q_ligand	6.850000
4dzy_protein	4dzy_ligand	5.560000
4e7r_protein	4e7r_ligand	7.950000
4e67_protein	4e67_ligand	6.780000
4e9u_protein	4e9u_ligand	3.530000
4e5w_protein	4e5w_ligand	8.150000
4e6d_protein	4e6d_ligand	7.760000
4ea2_protein	4ea2_ligand	6.820000
4dy6_protein	4dy6_ligand	4.760000
4e0x_protein	4e0x_ligand	6.260000
4efs_protein	4efs_ligand	8.240000
4egk_protein	4egk_ligand	8.530000
4e70_protein	4e70_ligand	5.800000
4ef6_protein	4ef6_ligand	3.980000
4e1k_protein	4e1k_ligand	7.460000
4efk_protein	4efk_ligand	2.990000
4ej8_protein	4ej8_ligand	2.440000
4ehz_protein	4ehz_ligand	6.250000
4ejl_protein	4ejl_ligand	3.350000
4ei4_protein	4ei4_ligand	6.730000
4eb8_protein	4eb8_ligand	8.300000
4ek9_protein	4ek9_ligand	5.510000
4elg_protein	4elg_ligand	8.320000
4elf_protein	4elf_ligand	8.230000
4elh_protein	4elh_ligand	7.950000
4dsy_protein	4dsy_ligand	2.350000
4emf_protein	4emf_ligand	6.020000
4emr_protein	4emr_ligand	5.590000
4epy_protein	4epy_ligand	5.000000
4erf_protein	4erf_ligand	6.330000
4er1_protein	4er1_ligand	7.930000
4er2_protein	4er2_ligand	7.270000
4en4_protein	4en4_ligand	4.000000
4ew2_protein	4ew2_ligand	6.260000
4etz_protein	4etz_ligand	5.540000
4eo6_protein	4eo6_ligand	7.220000
4eo8_protein	4eo8_ligand	7.270000
4eu0_protein	4eu0_ligand	6.020000
4eoh_protein	4eoh_ligand	2.580000
4euo_protein	4euo_ligand	4.400000
4eor_protein	4eor_ligand	6.960000
4ew3_protein	4ew3_ligand	6.040000
4ewn_protein	4ewn_ligand	4.990000
4exs_protein	4exs_ligand	2.380000
4ezx_protein	4ezx_ligand	5.700000
4f1l_protein	4f1l_ligand	6.400000
4f7v_protein	4f7v_ligand	7.730000
4f0c_protein	4f0c_ligand	4.580000
4f2w_protein	4f2w_ligand	7.990000
4f9u_protein	4f9u_ligand	4.790000
4f3k_protein	4f3k_ligand	6.290000
4f5y_protein	4f5y_ligand	6.720000
4f3c_protein	4f3c_ligand	8.470000
4f9w_protein	4f9w_ligand	7.270000
4f09_protein	4f09_ligand	6.270000
4f6u_protein	4f6u_ligand	8.640000
4f6w_protein	4f6w_ligand	9.930000
4f9y_protein	4f9y_ligand	7.060000
4ezr_protein	4ezr_ligand	5.450000
4ezz_protein	4ezz_ligand	6.130000
4fai_protein	4fai_ligand	5.530000
4fcq_protein	4fcq_ligand	5.310000
4f39_protein	4f39_ligand	6.560000
4fev_protein	4fev_ligand	5.950000
4flp_protein	4flp_ligand	6.610000
4few_protein	4few_ligand	5.680000
4fht_protein	4fht_ligand	5.290000
4fl1_protein	4fl1_ligand	4.130000
4fk6_protein	4fk6_ligand	8.150000
4ffs_protein	4ffs_ligand	8.970000
4fm7_protein	4fm7_ligand	7.650000
4fm8_protein	4fm8_ligand	7.110000
4fl2_protein	4fl2_ligand	4.570000
4fsl_protein	4fsl_ligand	7.260000
4fnn_protein	4fnn_ligand	4.690000
4fxp_protein	4fxp_ligand	5.490000
4g0y_protein	4g0y_ligand	3.300000
4g0p_protein	4g0p_ligand	3.350000
4g0q_protein	4g0q_ligand	3.390000
4fz3_protein	4fz3_ligand	4.550000
4g0z_protein	4g0z_ligand	3.200000
4fxq_protein	4fxq_ligand	6.780000
4fs4_protein	4fs4_ligand	6.800000
4g4p_protein	4g4p_ligand	5.960000
4fzj_protein	4fzj_ligand	1.680000
4g8m_protein	4g8m_ligand	6.530000
4g8v_protein	4g8v_ligand	3.850000
4g5f_protein	4g5f_ligand	3.850000
4g8y_protein	4g8y_ligand	4.780000
4g90_protein	4g90_ligand	3.980000
4g95_protein	4g95_ligand	7.650000
4fys_protein	4fys_ligand	6.000000
4ge1_protein	4ge1_ligand	4.500000
4g8n_protein	4g8n_ligand	6.080000
4gah_protein	4gah_ligand	6.130000
4gfo_protein	4gfo_ligand	6.470000
4gfm_protein	4gfm_ligand	6.480000
4ggz_protein	4ggz_ligand	7.110000
4ghi_protein	4ghi_ligand	8.400000
4gg7_protein	4gg7_ligand	8.460000
4gih_protein	4gih_ligand	7.330000
4gii_protein	4gii_ligand	7.780000
4gkh_protein	4gkh_ligand	6.350000
4gj2_protein	4gj2_ligand	7.880000
4gid_protein	4gid_ligand	8.410000
4gj3_protein	4gj3_ligand	7.910000
4gbd_protein	4gbd_ligand	6.040000
4gki_protein	4gki_ligand	5.070000
4gql_protein	4gql_ligand	8.100000
4gqp_protein	4gqp_ligand	6.640000
4gny_protein	4gny_ligand	5.280000
4gkm_protein	4gkm_ligand	5.330000
4gq4_protein	4gq4_ligand	7.110000
4gr0_protein	4gr0_ligand	8.390000
4gqq_protein	4gqq_ligand	3.180000
4gr3_protein	4gr3_ligand	6.750000
4gr8_protein	4gr8_ligand	6.890000
4gqr_protein	4gqr_ligand	4.520000
4gu9_protein	4gu9_ligand	5.120000
4gue_protein	4gue_ligand	6.830000
4gu6_protein	4gu6_ligand	7.120000
4h3f_protein	4h3f_ligand	8.690000
4h3g_protein	4h3g_ligand	8.760000
4h3j_protein	4h3j_ligand	7.900000
4h42_protein	4h42_ligand	3.610000
4fp1_protein	4fp1_ligand	4.270000
4h75_protein	4h75_ligand	5.160000
4hbm_protein	4hbm_ligand	7.750000
4ha5_protein	4ha5_ligand	6.490000
4hdb_protein	4hdb_ligand	7.610000
4h7q_protein	4h7q_ligand	4.080000
4h81_protein	4h81_ligand	5.010000
4h85_protein	4h85_ligand	4.410000
4hdf_protein	4hdf_ligand	8.260000
4hdp_protein	4hdp_ligand	9.870000
4heg_protein	4heg_ligand	8.760000
4hfp_protein	4hfp_ligand	7.430000
4hge_protein	4hge_ligand	7.630000
4gzp_protein	4gzp_ligand	5.950000
4hla_protein	4hla_ligand	8.560000
4hp0_protein	4hp0_ligand	5.470000
4hj2_protein	4hj2_ligand	4.230000
4hpi_protein	4hpi_ligand	4.550000
4gzt_protein	4gzt_ligand	4.730000
4gzw_protein	4gzw_ligand	4.460000
4gzx_protein	4gzx_ligand	4.640000
4ht0_protein	4ht0_ligand	5.630000
4hu1_protein	4hu1_ligand	7.040000
4ht2_protein	4ht2_ligand	6.310000
4hw3_protein	4hw3_ligand	7.390000
4hf4_protein	4hf4_ligand	8.650000
4i7j_protein	4i7j_ligand	3.670000
4hy1_protein	4hy1_ligand	7.960000
4hym_protein	4hym_ligand	5.690000
4i7k_protein	4i7k_ligand	3.790000
4i5c_protein	4i5c_ligand	8.350000
4hzm_protein	4hzm_ligand	4.880000
4i7l_protein	4i7l_ligand	4.140000
4i7m_protein	4i7m_ligand	4.060000
4i7p_protein	4i7p_ligand	3.060000
4i8w_protein	4i8w_ligand	7.800000
4i8n_protein	4i8n_ligand	5.420000
4hwo_protein	4hwo_ligand	8.530000
4i3z_protein	4i3z_ligand	4.570000
4hwp_protein	4hwp_ligand	7.970000
4hws_protein	4hws_ligand	8.830000
4i8z_protein	4i8z_ligand	8.070000
4ibb_protein	4ibb_ligand	5.170000
4ibc_protein	4ibc_ligand	5.430000
4ibd_protein	4ibd_ligand	5.440000
4ibe_protein	4ibe_ligand	5.170000
4i54_protein	4i54_ligand	7.440000
4ibf_protein	4ibf_ligand	4.740000
4ibi_protein	4ibi_ligand	6.460000
4ibg_protein	4ibg_ligand	5.930000
4ibj_protein	4ibj_ligand	6.470000
4i71_protein	4i71_ligand	7.340000
4i72_protein	4i72_ligand	6.750000
4i74_protein	4i74_ligand	6.800000
4igt_protein	4igt_ligand	0.000000
4ibk_protein	4ibk_ligand	5.940000
4ieh_protein	4ieh_ligand	8.220000
4i8x_protein	4i8x_ligand	3.660000
4ih3_protein	4ih3_ligand	0.940000
4ih5_protein	4ih5_ligand	4.830000
4in9_protein	4in9_ligand	5.140000
4i9h_protein	4i9h_ligand	7.170000
4i9u_protein	4i9u_ligand	4.100000
4idn_protein	4idn_ligand	6.190000
4ih7_protein	4ih7_ligand	5.300000
4ih6_protein	4ih6_ligand	5.570000
4ido_protein	4ido_ligand	6.300000
4ij1_protein	4ij1_ligand	5.180000
4io2_protein	4io2_ligand	5.500000
4io3_protein	4io3_ligand	5.160000
4io4_protein	4io4_ligand	5.030000
4isi_protein	4isi_ligand	8.030000
4ish_protein	4ish_ligand	8.830000
4io5_protein	4io5_ligand	4.560000
4io6_protein	4io6_ligand	4.680000
4io7_protein	4io7_ligand	4.700000
4itp_protein	4itp_ligand	5.880000
4ipi_protein	4ipi_ligand	4.440000
4isu_protein	4isu_ligand	4.320000
4ipj_protein	4ipj_ligand	4.500000
4iue_protein	4iue_ligand	7.710000
4iic_protein	4iic_ligand	4.950000
4iid_protein	4iid_ligand	5.230000
4iie_protein	4iie_ligand	2.480000
4ipn_protein	4ipn_ligand	3.870000
4iif_protein	4iif_ligand	5.380000
4iva_protein	4iva_ligand	7.420000
4ivc_protein	4ivc_ligand	8.590000
4iwz_protein	4iwz_ligand	7.070000
4ivb_protein	4ivb_ligand	8.360000
4ivd_protein	4ivd_ligand	8.320000
4iuo_protein	4iuo_ligand	5.010000
4j7d_protein	4j7d_ligand	6.310000
4j7e_protein	4j7e_ligand	5.070000
4j3l_protein	4j3l_ligand	8.020000
4j21_protein	4j21_ligand	8.070000
4j22_protein	4j22_ligand	7.740000
4j44_protein	4j44_ligand	5.460000
4j45_protein	4j45_ligand	5.130000
4j46_protein	4j46_ligand	5.490000
4j47_protein	4j47_ligand	5.000000
4j48_protein	4j48_ligand	5.010000
4j93_protein	4j93_ligand	5.840000
4j28_protein	4j28_ligand	5.080000
4je8_protein	4je8_ligand	4.780000
4jfk_protein	4jfk_ligand	6.730000
4jfm_protein	4jfm_ligand	5.540000
4je7_protein	4je7_ligand	6.570000
4jal_protein	4jal_ligand	5.450000
4jkw_protein	4jkw_ligand	3.110000
4jia_protein	4jia_ligand	7.300000
4jfs_protein	4jfs_ligand	5.020000
4jn2_protein	4jn2_ligand	7.390000
4jpx_protein	4jpx_ligand	4.960000
4jpy_protein	4jpy_ligand	4.760000
4jsa_protein	4jsa_ligand	4.960000
4jss_protein	4jss_ligand	2.570000
4jwk_protein	4jwk_ligand	5.150000
4jsz_protein	4jsz_ligand	2.780000
4jx9_protein	4jx9_ligand	6.070000
4jxs_protein	4jxs_ligand	5.740000
4jym_protein	4jym_ligand	5.270000
4jyt_protein	4jyt_ligand	7.000000
4jz1_protein	4jz1_ligand	8.010000
4jyb_protein	4jyb_ligand	7.070000
4jyc_protein	4jyc_ligand	6.390000
4k0o_protein	4k0o_ligand	3.730000
4jzi_protein	4jzi_ligand	6.670000
4k3h_protein	4k3h_ligand	8.030000
4k0y_protein	4k0y_ligand	7.750000
4k4j_protein	4k4j_ligand	7.330000
4k7i_protein	4k7i_ligand	3.020000
4k6i_protein	4k6i_ligand	8.140000
4jne_protein	4jne_ligand	5.900000
4k7o_protein	4k7o_ligand	3.800000
4jh0_protein	4jh0_ligand	6.360000
4k7n_protein	4k7n_ligand	3.880000
4k9y_protein	4k9y_ligand	9.550000
4k55_protein	4k55_ligand	3.270000
4k18_protein	4k18_ligand	7.860000
4kao_protein	4kao_ligand	7.830000
4k77_protein	4k77_ligand	6.080000
4kb9_protein	4kb9_ligand	9.260000
4kcx_protein	4kcx_ligand	4.910000
4kax_protein	4kax_ligand	5.540000
4kfq_protein	4kfq_ligand	5.200000
4k5p_protein	4k5p_ligand	3.390000
4keq_protein	4keq_ligand	4.020000
4km0_protein	4km0_ligand	6.150000
4km2_protein	4km2_ligand	5.600000
4kmz_protein	4kmz_ligand	7.380000
4kn0_protein	4kn0_ligand	7.570000
4kif_protein	4kif_ligand	2.760000
4kn1_protein	4kn1_ligand	7.140000
4kni_protein	4kni_ligand	6.800000
4knj_protein	4knj_ligand	6.140000
4knm_protein	4knm_ligand	6.310000
4knn_protein	4knn_ligand	5.960000
4kow_protein	4kow_ligand	6.140000
4kqp_protein	4kqp_ligand	5.680000
4kp5_protein	4kp5_ligand	6.630000
4kp8_protein	4kp8_ligand	6.870000
4ksy_protein	4ksy_ligand	7.130000
4kxn_protein	4kxn_ligand	5.970000
4kiu_protein	4kiu_ligand	6.720000
4kyh_protein	4kyh_ligand	5.210000
4kwo_protein	4kwo_ligand	7.100000
4kyk_protein	4kyk_ligand	5.650000
4kz3_protein	4kz3_ligand	3.930000
4kz4_protein	4kz4_ligand	4.640000
4kz6_protein	4kz6_ligand	4.380000
4kzq_protein	4kzq_ligand	7.770000
4kx8_protein	4kx8_ligand	5.560000
4kxb_protein	4kxb_ligand	5.780000
4kz7_protein	4kz7_ligand	4.510000
4kzu_protein	4kzu_ligand	8.240000
4ks1_protein	4ks1_ligand	7.590000
4l2l_protein	4l2l_ligand	7.420000
4ks4_protein	4ks4_ligand	4.990000
4l19_protein	4l19_ligand	5.910000
4l4z_protein	4l4z_ligand	5.060000
4kwg_protein	4kwg_ligand	3.130000
4kwf_protein	4kwf_ligand	6.150000
4lar_protein	4lar_ligand	5.320000
4l50_protein	4l50_ligand	5.860000
4l51_protein	4l51_ligand	4.220000
4l4v_protein	4l4v_ligand	6.520000
4k3n_protein	4k3n_ligand	5.090000
4l6t_protein	4l6t_ligand	4.870000
4lch_protein	4lch_ligand	9.090000
4lbu_protein	4lbu_ligand	7.590000
4l9i_protein	4l9i_ligand	5.600000
4lhv_protein	4lhv_ligand	7.400000
4lj5_protein	4lj5_ligand	5.950000
4lj8_protein	4lj8_ligand	6.640000
4leq_protein	4leq_ligand	7.220000
4ljh_protein	4ljh_ligand	4.910000
4lk7_protein	4lk7_ligand	5.180000
4lhm_protein	4lhm_ligand	5.940000
4lkq_protein	4lkq_ligand	2.800000
4ll3_protein	4ll3_ligand	7.540000
4llj_protein	4llj_ligand	4.610000
4llp_protein	4llp_ligand	3.470000
4llk_protein	4llk_ligand	4.830000
4llx_protein	4llx_ligand	4.600000
4lm0_protein	4lm0_ligand	4.060000
4lm1_protein	4lm1_ligand	4.960000
4ko8_protein	4ko8_ligand	6.010000
4lm2_protein	4lm2_ligand	4.130000
4lov_protein	4lov_ligand	6.000000
4lm3_protein	4lm3_ligand	5.050000
4lm4_protein	4lm4_ligand	4.280000
4loh_protein	4loh_ligand	8.280000
4loi_protein	4loi_ligand	8.010000
4loo_protein	4loo_ligand	8.170000
4luz_protein	4luz_ligand	5.780000
4loy_protein	4loy_ligand	8.700000
4lps_protein	4lps_ligand	6.240000
4lvt_protein	4lvt_ligand	9.490000
4lxd_protein	4lxd_ligand	7.660000
4lrr_protein	4lrr_ligand	4.330000
4lzr_protein	4lzr_ligand	5.830000
4lyw_protein	4lyw_ligand	5.540000
4ly1_protein	4ly1_ligand	7.710000
4lkk_protein	4lkk_ligand	4.350000
4lxz_protein	4lxz_ligand	6.140000
4lzs_protein	4lzs_ligand	4.890000
4lko_protein	4lko_ligand	6.410000
4m0y_protein	4m0y_ligand	5.740000
4m2r_protein	4m2r_ligand	6.680000
4m2u_protein	4m2u_ligand	7.470000
4ly9_protein	4ly9_ligand	9.170000
4m2v_protein	4m2v_ligand	7.340000
4m0r_protein	4m0r_ligand	6.690000
4m2w_protein	4m2w_ligand	7.050000
4m8e_protein	4m8e_ligand	7.300000
4m8h_protein	4m8h_ligand	7.420000
4m8x_protein	4m8x_ligand	8.180000
4m8y_protein	4m8y_ligand	8.650000
4m7j_protein	4m7j_ligand	4.350000
4m12_protein	4m12_ligand	8.400000
4m13_protein	4m13_ligand	8.950000
4mc1_protein	4mc1_ligand	8.770000
4m14_protein	4m14_ligand	5.390000
4m0e_protein	4m0e_ligand	7.680000
4m0f_protein	4m0f_ligand	9.180000
4mc2_protein	4mc2_ligand	8.530000
4mc6_protein	4mc6_ligand	8.580000
4mdn_protein	4mdn_ligand	7.130000
4mc9_protein	4mc9_ligand	8.180000
4mhy_protein	4mhy_ligand	5.110000
4mgd_protein	4mgd_ligand	6.570000
4mhz_protein	4mhz_ligand	3.990000
4mn3_protein	4mn3_ligand	7.410000
4mmm_protein	4mmm_ligand	3.390000
4m3p_protein	4m3p_ligand	2.130000
4mmp_protein	4mmp_ligand	5.420000
4mnp_protein	4mnp_ligand	5.160000
4mjp_protein	4mjp_ligand	5.290000
4mr3_protein	4mr3_ligand	4.900000
4mo8_protein	4mo8_ligand	5.800000
4mme_protein	4mme_ligand	6.690000
4mo4_protein	4mo4_ligand	4.240000
4mr6_protein	4mr6_ligand	5.610000
4mre_protein	4mre_ligand	2.930000
4mrg_protein	4mrg_ligand	3.770000
4mq6_protein	4mq6_ligand	6.560000
4mpn_protein	4mpn_ligand	6.060000
4mrz_protein	4mrz_ligand	4.650000
4mrw_protein	4mrw_ligand	4.070000
4msa_protein	4msa_ligand	4.780000
4msc_protein	4msc_ligand	6.390000
4msn_protein	4msn_ligand	5.490000
4muv_protein	4muv_ligand	8.450000
4mss_protein	4mss_ligand	5.460000
4muf_protein	4muf_ligand	7.150000
4myd_protein	4myd_ligand	5.440000
4mul_protein	4mul_ligand	7.410000
4n7u_protein	4n7u_ligand	2.140000
4n6z_protein	4n6z_ligand	6.920000
4m6u_protein	4m6u_ligand	3.110000
4n6g_protein	4n6g_ligand	4.610000
4n5d_protein	4n5d_ligand	3.690000
4n7m_protein	4n7m_ligand	5.070000
4na9_protein	4na9_ligand	7.740000
4n8q_protein	4n8q_ligand	3.500000
4n07_protein	4n07_ligand	6.020000
4ndu_protein	4ndu_ligand	4.830000
4n9a_protein	4n9a_ligand	4.670000
4nbk_protein	4nbk_ligand	6.900000
4nbl_protein	4nbl_ligand	7.350000
4ncn_protein	4ncn_ligand	6.910000
4nh7_protein	4nh7_ligand	8.690000
4nh8_protein	4nh8_ligand	8.300000
4n9c_protein	4n9c_ligand	4.350000
4nbn_protein	4nbn_ligand	7.240000
4nj9_protein	4nj9_ligand	6.020000
4nnr_protein	4nnr_ligand	6.830000
4np2_protein	4np2_ligand	3.140000
4nja_protein	4nja_ligand	6.010000
4non_protein	4non_ligand	5.180000
4np3_protein	4np3_ligand	3.880000
4nkt_protein	4nkt_ligand	5.230000
4nku_protein	4nku_ligand	4.610000
4nl1_protein	4nl1_ligand	3.820000
4np9_protein	4np9_ligand	3.770000
4nra_protein	4nra_ligand	4.340000
4nuc_protein	4nuc_ligand	4.850000
4nue_protein	4nue_ligand	5.400000
4ngm_protein	4ngm_ligand	8.140000
4ngn_protein	4ngn_ligand	6.180000
4ngp_protein	4ngp_ligand	7.190000
4o3c_protein	4o3c_ligand	0.000000
4nwc_protein	4nwc_ligand	5.520000
4o0a_protein	4o0a_ligand	6.620000
