,ligand,pK(ref),pK($Δ_{Vina}RF_{20}$),pK($AutoDock 4.2$),pK($∆SAS$),pK($DrugScoreX$),pK($AutoDock Vina$),pK($X-Score$),pK($NNScore 2.0$),pK($AutoDock VinaXB$)
2233,4gii_ligand,8.74,7.78,6.0318,378.042572,-113.98,6.324509,6.69,6.547,6.324509
2234,4gj2_ligand,8.6,7.88,5.8851,362.671967,-117.399,6.494787,6.57,5.722,6.494787
2235,4fys_ligand,4.82,6.0,7.4147,565.754669,-180.428,5.81088,7.51,7.454,5.81088
2236,4gid_ligand,10.8,8.41,11.5306,715.22757,-247.649,7.921261,9.47,8.748,7.921261
2237,4gj3_ligand,8.85,7.91,6.2834,377.696503,-116.788,6.593922,6.66,6.172,6.593922
2238,4gny_ligand,4.22,5.28,2.3791,340.406616,-71.518,3.828226,5.49,6.243,3.828226
2239,4gqp_ligand,9.6,6.64,5.233,241.396133,-74.693,5.126378,5.85,5.282,5.126378
2240,4gu9_ligand,4.37,5.12,3.3926,243.660858,-85.731,4.333365,5.34,4.629,4.333365
2241,4gue_ligand,5.24,6.83,4.2912,408.303375,-118.582,6.798343,7.01,5.076,6.798343
2242,4gq4_ligand,7.66,7.11,5.7152,318.685303,-103.519,6.02456,6.27,6.922,6.02456
2243,4gqq_ligand,2.89,3.18,1.9807,182.70607,-53.351,2.82651,5.03,4.483,2.82651
2244,4gqr_ligand,3.96,4.52,2.0652,211.792053,-54.916,4.244304,5.63,4.826,4.244304
2245,4gkm_ligand,5.17,5.33,5.7844,278.432724,-88.29,5.340828,6.43,6.789,5.340828
2246,4gu6_ligand,7.36,7.12,6.5053,401.757141,-131.245,6.052287,6.73,8.167,6.052287
2247,4h3f_ligand,9.0,8.69,8.7119,452.074249,-156.052,8.046848,7.07,8.528,8.046848
2248,4h3g_ligand,8.22,8.76,8.9186,438.971252,-130.347,8.218893,7.02,7.886,8.218893
2249,4h3j_ligand,7.05,7.9,8.007,455.244141,-143.179,7.748182,7.21,6.874,7.748182
2250,4h42_ligand,3.47,3.61,2.6239,231.116684,-61.446,3.193292,5.05,4.245,3.193292
2251,4hbm_ligand,7.92,7.75,6.5507,403.481659,-120.493,6.223328,7.11,8.445,6.223328
2252,4h75_ligand,6.6,5.16,5.4166,602.184265,-176.615,3.387889,6.18,7.556,3.387889
2253,4h7q_ligand,5.06,4.08,2.0019,196.749298,-51.68,3.099435,5.06,5.667,3.099435
2254,4hdb_ligand,8.05,7.61,5.3598,562.53299,-197.852,5.501261,7.84,8.698,5.501261
2255,4hdf_ligand,8.49,8.26,6.6922,548.004974,-190.875,6.099626,7.62,8.954,6.099626
2256,4ha5_ligand,7.24,6.49,6.4386,307.303864,-89.964,5.213109,5.96,6.254,5.213109
2257,4hdp_ligand,7.51,9.87,7.8191,564.691559,-202.784,7.062573,7.86,10.247,7.062573
2258,4heg_ligand,8.92,8.76,7.8106,557.638397,-195.609,5.97,7.76,9.04,5.97
2259,4h81_ligand,5.12,5.01,5.5032,226.819077,-80.874,4.472757,5.71,7.605,4.472757
2260,4h85_ligand,5.15,4.41,3.3566,205.178253,-58.801,3.295762,5.23,5.551,3.295762
2261,4hfp_ligand,7.38,7.43,5.983,469.550812,-144.625,6.428988,6.67,7.079,6.428988
2262,4hge_ligand,7.92,7.63,5.9271,381.022186,-126.211,6.53937,6.58,7.678,6.53937
2263,4hp0_ligand,6.12,5.47,3.9869,483.914429,-162.591,4.971364,6.44,6.53,4.971364
2264,4hpi_ligand,4.85,4.55,2.7434,385.267487,-136.306,4.227735,5.89,4.83,4.227735
2265,4hw3_ligand,6.49,7.39,7.0383,394.434204,-122.512,7.041056,7.17,6.769,7.041056
2266,4hla_ligand,10.8,8.56,6.632,528.818726,-188.305,6.133087,7.58,8.367,6.133087
2267,4i7j_ligand,3.32,3.67,2.9112,139.479362,-44.811,3.945601,5.1,3.18,3.945601
2268,4i7k_ligand,3.04,3.79,3.2809,161.274651,-52.9,4.243658,5.36,4.28,4.243658
2269,4hj2_ligand,2.53,4.23,7.686,524.830048,-140.639,3.718387,6.43,6.802,3.718387
2270,4hy1_ligand,8.7,7.96,7.0718,371.257507,-125.285,6.237669,6.62,8.024,6.237669
2271,4hzm_ligand,4.63,4.88,3.5129,237.431747,-54.898,3.902251,5.05,3.216,3.902251
2272,4i5c_ligand,8.82,8.35,6.7067,339.09462,-134.114,6.728878,6.01,8.555,6.728878
2273,4i7l_ligand,3.99,4.14,2.6936,150.157173,-49.951,4.018548,5.15,4.135,4.018548
2274,4i7m_ligand,4.14,4.06,3.4527,204.168167,-64.115,3.847185,5.62,4.906,3.847185
2275,4hym_ligand,8.22,5.69,5.4324,350.263275,-111.759,4.086672,6.29,5.143,4.086672
2276,4gzp_ligand,7.84,5.95,4.7811,317.839279,-72.591,3.5689,5.61,6.151,3.5689
2277,4gzt_ligand,7.77,4.73,3.8576,303.604736,-59.372,3.142889,5.42,5.573,3.142889
2278,4i7p_ligand,3.5,3.06,2.3688,145.10054,-43.524,2.289633,4.57,5.433,2.363145
2279,4gzx_ligand,3.19,4.64,0.5569,317.278198,-59.725,4.262529,4.93,3.431,4.262529
2280,4ibb_ligand,3.57,5.17,3.1483,331.048553,-94.259,4.888284,6.4,5.997,4.888284
2281,4i8w_ligand,10.9,7.8,5.0753,550.781525,-190.236,5.058072,7.58,7.283,5.058072
2282,4ibc_ligand,2.98,5.43,4.8067,320.61969,-97.738,5.226122,6.73,6.085,5.226122
2283,4i3z_ligand,4.29,4.57,2.5987,348.189285,-98.091,5.076364,5.63,2.218,5.076364
2284,4i8n_ligand,4.46,5.42,5.2521,317.311676,-97.168,5.157111,6.5,5.33,5.157111
2285,4i8z_ligand,11.1,8.07,6.0164,547.525482,-180.36,5.657559,7.61,8.095,5.657559
2286,4ibd_ligand,3.67,5.44,5.2853,331.97403,-93.794,5.137859,6.32,4.73,5.137859
2287,4ibe_ligand,4.15,5.17,4.953,307.516937,-87.171,4.721415,6.41,4.515,4.721415
2288,4ibf_ligand,4.43,4.74,4.9655,340.089508,-82.262,4.024985,6.11,6.72,4.024985
2289,4ibi_ligand,4.14,6.46,5.825,363.429626,-113.904,5.959531,6.9,5.63,5.959531
2290,4ibj_ligand,4.33,6.47,5.9336,390.428802,-114.892,6.088233,6.87,8.374,6.088233
2291,4ibk_ligand,4.3,5.94,6.0864,342.040131,-101.763,5.512874,6.56,5.066,5.512874
2292,4i54_ligand,6.96,7.44,6.2229,352.297607,-124.609,6.864069,6.61,6.702,6.864069
2293,4ibg_ligand,3.97,5.93,5.8974,372.035156,-111.472,5.458328,6.84,5.975,5.458328
2294,4ieh_ligand,7.85,8.22,8.7007,644.434052,-184.161,7.415,8.72,6.934,7.415
2295,4ih5_ligand,4.11,4.83,3.3581,245.98407,-62.83,4.224326,5.61,4.791,4.224326
2296,4ih6_ligand,4.74,5.57,4.6526,309.180008,-101.032,5.470147,6.55,6.013,5.470147
2297,4io2_ligand,6.7,5.5,6.0314,185.776367,-70.305,4.408446,5.1,6.308,4.408446
2298,4io3_ligand,6.06,5.16,4.9523,165.503044,-60.045,4.051085,5.0,5.871,4.051085
2299,4io4_ligand,4.61,5.03,4.4257,145.98658,-59.648,3.615374,4.83,5.742,3.615374
2300,4ij1_ligand,5.4,5.18,5.5472,277.341232,-87.017,5.28357,6.16,6.238,5.28357
2301,4io5_ligand,5.03,4.56,4.8499,136.026161,-54.408,3.425535,4.86,5.24,3.425535
2302,4idn_ligand,5.24,6.19,11.4351,431.764008,-197.411,8.442155,7.26,7.588,8.442155
2303,4ido_ligand,4.93,6.3,9.3445,385.55661,-168.008,8.120139,6.7,6.955,8.120139
2304,4i8x_ligand,2.64,3.66,3.9614,219.15239,-50.498,3.860953,5.41,3.948,3.860953
2305,4i9u_ligand,3.86,4.1,4.3668,289.624786,-74.251,3.926166,5.52,4.188,3.926166
2306,4ish_ligand,8.72,8.83,7.8498,400.208405,-157.409,8.219267,7.3,8.794,8.219267
2307,4io6_ligand,4.82,4.68,5.5043,200.419418,-74.11,3.791173,4.95,6.173,3.791173
2308,4io7_ligand,3.68,4.7,6.383,213.548035,-86.996,4.945015,5.57,5.034,4.945015
2309,4isi_ligand,8.14,8.03,7.9084,427.359314,-180.36,6.95695,7.13,6.82,6.996906
2310,4j7d_ligand,4.7,6.31,5.5592,386.035461,-109.312,6.091767,7.43,9.285,6.091767
2311,4iva_ligand,7.16,7.42,5.6309,347.205765,-123.817,6.579868,6.15,6.477,6.579868
2312,4ipi_ligand,5.32,4.44,1.0718,157.589546,-24.781,3.176056,4.56,5.917,3.176056
2313,4ivb_ligand,8.72,8.36,6.0616,348.62384,-134.534,7.17989,6.38,7.603,7.17989
2314,4j7e_ligand,4.85,5.07,4.1298,310.732605,-83.652,4.727309,6.25,7.792,4.727309
2315,4ipj_ligand,4.87,4.5,1.2985,152.461479,-40.653,2.973805,4.56,3.995,2.973805
2316,4iuo_ligand,3.64,5.01,4.2942,211.81723,-77.943,5.190403,5.58,4.55,5.190403
2317,4isu_ligand,3.68,4.32,5.2733,249.793457,-73.707,4.290154,5.28,5.593,4.290154
2318,4i9h_ligand,7.17,7.17,7.1071,591.999878,-162.234,6.147361,7.58,5.692,6.147361
2319,4ivc_ligand,10.0,8.59,6.554,369.244415,-137.69,7.190806,6.53,7.941,7.190806
2320,4ivd_ligand,9.52,8.32,6.4416,375.049408,-140.759,6.530235,6.46,7.994,6.530235
2321,4j93_ligand,4.7,5.84,4.846,266.581375,-93.627,5.500931,5.96,5.992,5.500931
2322,4jkw_ligand,4.16,3.11,1.924,222.498642,-41.158,2.55695,4.37,4.988,2.55695
2323,4jfk_ligand,6.44,6.73,7.8815,406.566101,-143.484,5.195315,6.81,4.886,5.195315
2324,4jfm_ligand,5.48,5.54,3.9935,316.134888,-103.52,4.78651,5.59,5.095,4.78651
2325,4iic_ligand,4.85,4.95,3.9075,182.210617,-69.346,4.01846,5.14,4.54,4.01846
2326,4iid_ligand,5.62,5.23,4.4687,185.900208,-63.318,3.922742,5.26,5.263,3.922742
2327,4ipn_ligand,3.39,3.87,1.0709,359.34021,-87.103,4.263974,5.46,2.551,4.263974
2328,4iif_ligand,5.18,5.38,4.2861,210.112854,-66.556,4.624098,5.65,5.134,4.624098
2329,4jx9_ligand,8.62,6.07,1.6185,184.743195,-59.75,2.963211,4.78,3.079,2.963211
2330,4jia_ligand,9.22,7.3,5.3141,323.546173,-119.704,6.792199,6.9,8.084,6.792199
2331,4jal_ligand,4.6,5.45,5.2617,366.666138,-143.276,5.759348,6.17,5.654,5.759348
2332,4j28_ligand,5.7,5.08,4.9294,206.784058,-58.718,4.46846,5.54,5.574,4.46846
2333,4jfs_ligand,5.27,5.02,4.2601,219.805756,-76.74,4.515836,5.49,5.49,4.515836
2334,4jym_ligand,5.04,5.27,3.5087,219.306152,-59.488,4.456826,5.04,3.401,4.456826
2335,4jn2_ligand,11.7,7.39,7.4777,427.910095,-140.857,6.439457,7.32,7.661,6.439457
2336,4jyt_ligand,7.4,7.0,6.6941,377.459595,-148.671,5.721745,7.56,9.545,5.721745
2337,4jxs_ligand,4.74,5.74,5.3757,285.048935,-84.367,5.047595,5.72,5.386,5.047595
2338,4jz1_ligand,6.7,8.01,7.7939,421.219727,-170.482,7.195887,7.64,10.318,7.195887
2339,4k7i_ligand,2.82,3.02,1.8526,123.84391,-35.765,2.528094,4.66,4.358,2.528094
2340,4jzi_ligand,7.4,6.67,6.0044,377.631287,-137.586,5.736848,7.03,7.465,5.736848
2341,4k3h_ligand,6.85,8.03,7.1131,429.497803,-149.44,8.438996,7.7,7.19,8.438996
2342,4k4j_ligand,6.12,7.33,8.2008,420.981628,-139.754,8.125015,7.68,7.782,8.125015
2343,4k6i_ligand,6.2,8.14,9.1466,452.145752,-154.354,9.331752,8.7,8.286,9.331752
2344,4k0y_ligand,7.82,7.75,6.0713,381.552505,-116.203,6.996818,6.58,6.799,6.996818
2345,4k55_ligand,5.51,3.27,0.229,225.962524,-23.158,1.328277,4.13,7.399,1.328277
2346,4jyb_ligand,6.96,7.07,8.7325,323.73941,-132.573,6.412617,5.87,5.666,6.412617
2347,4k7n_ligand,3.48,3.88,2.4345,148.374016,-42.549,3.301239,4.93,4.324,3.301239
2348,4kb9_ligand,11.0,9.26,7.9982,580.068451,-204.064,6.570015,8.09,9.345,6.570015
2349,4jyc_ligand,6.7,6.39,6.6128,280.822662,-121.481,5.612089,5.61,5.043,5.612089
2350,4k9y_ligand,6.95,9.55,9.9415,547.975555,-192.361,9.89404,8.84,8.065,9.89404
2351,4kcx_ligand,4.43,4.91,3.5391,336.39386,-96.225,4.21085,5.74,4.921,4.21085
2352,4k18_ligand,8.96,7.86,5.5368,382.157562,-119.47,6.783834,6.99,7.841,6.783834
2353,4kao_ligand,6.11,7.83,8.8369,480.091553,-161.983,8.109633,8.35,6.501,8.109633
2354,4km0_ligand,6.04,6.15,4.8875,254.791046,-76.665,5.04357,5.98,7.221,5.04357
2355,4k77_ligand,6.63,6.08,4.4078,302.954208,-103.267,5.268226,5.7,6.392,5.268226
2356,4km2_ligand,5.84,5.6,4.4159,308.974304,-82.699,4.553057,5.31,6.058,4.553057
2357,4kax_ligand,4.77,5.54,10.44,374.304138,-168.185,7.742375,6.66,6.796,7.742375
2358,4kfq_ligand,8.23,5.2,4.5828,214.44603,-71.26,4.504274,5.77,2.032,4.504274
2359,4kmz_ligand,8.57,7.38,9.5202,422.963654,-156.56,6.927353,7.33,7.905,6.927353
2360,4kn0_ligand,7.4,7.57,8.2963,443.890686,-137.127,7.243622,7.13,6.539,7.243614
2361,4kow_ligand,4.31,6.14,7.1916,359.182343,-131.502,6.316877,5.98,5.645,6.316877
2362,4kn1_ligand,6.84,7.14,7.2463,430.473328,-133.24,6.87456,7.0,7.199,6.87456
2363,4kqp_ligand,6.05,5.68,6.6343,187.828064,-83.772,4.838409,5.28,6.597,4.838409
2364,4kxn_ligand,6.1,5.97,6.2724,382.561493,-133.379,5.97654,6.23,5.97,5.97654
2365,4ksy_ligand,8.42,7.13,6.138,587.738983,-166.95,9.212537,7.53,5.085,9.212537
2366,4kz3_ligand,2.77,3.93,3.4044,171.350952,-48.048,3.728776,4.76,5.683,3.728776
2367,4kz4_ligand,4.15,4.64,4.0368,242.834686,-57.694,3.751921,5.47,2.519,3.751921
2368,4kz7_ligand,2.49,4.51,3.4872,189.107285,-49.821,4.114377,5.14,3.601,4.114377
2369,4jh0_ligand,9.03,6.36,7.6938,304.336334,-74.165,4.448233,6.14,9.642,4.448233
2370,4kz6_ligand,3.1,4.38,2.9317,236.916412,-63.574,3.737933,5.17,2.526,3.737933
2371,4l4z_ligand,5.68,5.06,2.7782,253.53978,-61.999,4.234062,5.08,3.646,4.234062
2372,4lhv_ligand,10.0,7.4,8.2059,306.781921,-141.732,6.656891,5.92,5.083,6.656891
2373,4lar_ligand,4.68,5.32,3.9859,222.660294,-63.263,4.828607,5.65,5.97,4.828607
2374,4lj5_ligand,6.29,5.95,4.6982,344.569672,-105.595,5.509648,5.58,4.798,5.509648
2375,4l50_ligand,6.06,5.86,3.7894,316.527206,-77.231,4.878578,5.7,5.582,4.878578
2376,4l51_ligand,3.0,4.22,3.8024,247.654404,-87.638,4.329714,5.19,4.352,4.329714
2377,4l4v_ligand,5.78,6.52,4.5822,348.658432,-123.279,6.284787,6.24,6.411,6.284787
2378,4lj8_ligand,5.82,6.64,5.7344,345.914459,-108.41,6.032713,5.87,4.709,6.032713
2379,4ll3_ligand,11.6,7.54,6.5623,527.140808,-185.415,5.522412,7.57,8.113,5.522412
2380,4kiu_ligand,3.85,6.72,3.7385,357.372101,-105.604,6.27846,6.59,7.223,6.27846
2381,4ljh_ligand,4.71,4.91,2.4295,223.011612,-88.252,4.046525,5.34,4.582,4.046525
2382,4lk7_ligand,5.04,5.18,2.4565,229.568268,-91.221,4.264699,5.43,3.966,4.264699
2383,4l9i_ligand,4.89,5.6,4.9379,317.95047,-103.154,5.37945,5.76,6.64,5.37945
2384,4lhm_ligand,3.39,5.94,3.9929,261.540863,-71.394,4.842933,5.26,5.786,4.842933
2385,4ks1_ligand,8.82,7.59,6.5754,328.638397,-88.494,4.935982,5.97,6.334,4.935982
2386,4lov_ligand,7.77,6.0,2.4296,250.53653,-87.302,4.291628,5.48,5.512,4.291628
2387,4luz_ligand,4.7,5.78,6.3636,419.620178,-98.919,5.72151,7.14,5.503,5.72151
2388,4loh_ligand,6.96,8.28,7.2025,582.806152,-182.261,10.871261,7.62,4.897,10.871261
2389,4ks4_ligand,7.14,4.99,4.5352,400.942871,-85.498,4.26357,6.14,5.825,4.26357
2390,4loi_ligand,6.77,8.01,7.3119,562.75882,-190.82,10.541481,7.68,4.994,10.541481
2391,4lyw_ligand,6.63,5.54,3.3971,308.478394,-89.832,4.562067,5.88,5.04,4.562067
2392,4lzr_ligand,4.7,5.83,4.3826,307.60495,-83.545,5.065645,5.63,3.629,5.065645
2393,4loy_ligand,8.09,8.7,7.9169,473.2742,-159.26,7.466987,7.2,8.933,7.466987
2394,4loo_ligand,8.15,8.17,6.2437,365.393051,-123.951,7.193974,6.59,7.248,7.193974
2395,4lxd_ligand,7.23,7.66,7.1694,527.58783,-153.703,7.126979,7.6,7.242,7.126979
2396,4lzs_ligand,4.8,4.89,3.6627,244.168472,-66.463,4.307947,5.38,2.845,4.307947
2397,4lvt_ligand,10.4,9.49,9.3917,662.45874,-222.489,7.935579,8.99,10.007,7.935579
2398,4kwf_ligand,4.82,6.15,6.0842,309.664948,-85.519,5.871217,6.67,6.432,5.871217
2399,4kwg_ligand,6.0,3.13,4.3301,244.440323,-43.206,2.423013,5.82,2.65,2.423013
2400,4m8e_ligand,7.89,7.3,8.5191,435.004913,-137.899,8.395587,7.84,8.209,8.395587
2401,4m8h_ligand,7.6,7.42,8.4361,435.874176,-144.435,8.245858,7.86,8.225,8.245858
2402,4m0y_ligand,6.46,5.74,4.3223,295.52977,-86.073,5.313585,5.98,4.85,5.313585
2403,4m8x_ligand,10.2,8.18,3.1985,630.147705,-191.995,4.504201,7.43,8.588,4.504201
2404,4m8y_ligand,9.96,8.65,6.3077,640.142578,-208.636,5.390015,7.49,8.901,5.390015
2405,4ly9_ligand,8.15,9.17,7.3839,521.883362,-193.417,8.585396,7.55,8.958,8.585396
2406,4m12_ligand,6.05,8.4,9.2315,427.441498,-155.584,7.926195,7.65,7.637,7.926195
2407,4mc1_ligand,7.85,8.77,7.5182,585.945312,-202.768,7.445982,8.05,8.856,7.445982
2408,4m13_ligand,6.7,8.95,9.6768,450.812958,-163.244,8.130755,7.92,8.479,8.130755
2409,4mc2_ligand,8.19,8.53,7.1296,573.846771,-209.492,7.441158,7.94,8.855,7.441158
2410,4mc6_ligand,9.59,8.58,6.8193,571.261536,-186.689,7.781598,8.21,7.93,7.781598
2411,4m14_ligand,6.7,5.39,4.371,297.566559,-95.738,4.588072,6.07,4.532,4.588072
2412,4mdn_ligand,6.22,7.13,6.4216,472.014496,-133.031,6.991004,7.69,9.596,6.991004
2413,4m0r_ligand,5.21,6.69,6.1308,332.601105,-118.237,6.581503,6.83,7.487,6.581503
2414,4mc9_ligand,9.44,8.18,6.7912,559.176758,-202.492,6.904729,7.74,8.755,6.904729
2415,4lkk_ligand,5.92,4.35,1.0899,278.588806,-77.947,3.776378,5.02,2.797,3.776378
2416,4mn3_ligand,5.75,7.41,8.2893,568.334045,-245.9,5.872251,7.84,6.842,5.872251
2417,4mmm_ligand,3.82,3.39,2.3075,137.25,-39.249,2.876298,5.22,3.416,2.876298
2418,4lko_ligand,8.22,6.41,7.0068,292.723663,-74.896,4.640477,5.89,8.298,4.640477
2419,4ko8_ligand,7.15,6.01,7.4479,431.291962,-162.319,6.586848,6.53,7.038,6.586848
2420,4mhz_ligand,6.87,3.99,2.8636,289.305176,-91.469,2.795125,5.26,1.835,2.795125
2421,4mr3_ligand,5.94,4.9,3.457,271.501694,-72.109,4.125755,5.67,4.232,4.125755
2422,4mr6_ligand,6.6,5.61,3.6904,321.929932,-97.186,4.524663,5.67,5.064,4.524663
2423,4mgd_ligand,4.69,6.57,6.0014,346.092407,-92.967,5.677317,6.87,7.422,5.677317
2424,4mmp_ligand,7.71,5.42,3.8229,331.637161,-83.185,5.46563,5.81,4.805,5.46563
2425,4mnp_ligand,7.34,5.16,3.5547,316.538376,-72.98,5.302383,5.64,4.5,5.302383
2426,4mre_ligand,2.19,2.93,1.7573,152.262444,-40.7,2.856312,4.54,0.961,2.856312
2427,4mrg_ligand,2.96,3.77,3.4153,167.209259,-58.936,3.785909,4.76,2.434,3.785909
2428,4mme_ligand,6.5,6.69,5.5999,317.452637,-112.244,6.696848,6.9,8.087,6.696848
2429,4muv_ligand,5.76,8.45,6.9321,334.357407,-142.722,8.67055,6.46,5.951,8.67055
2430,4mss_ligand,6.4,5.46,4.3945,249.862671,-64.96,4.383878,5.47,5.278,4.383878
2431,4mq6_ligand,6.47,6.56,7.7617,406.588837,-131.654,6.141686,6.91,8.189,6.141686
2432,4myd_ligand,4.55,5.44,4.4919,261.512131,-75.58,4.818526,5.71,5.426,4.818526
2433,4mjp_ligand,3.88,5.29,5.6444,291.278824,-92.609,4.930521,6.27,5.216,4.930521
2434,4mo4_ligand,4.22,4.24,1.6817,261.580444,-98.161,3.992515,5.16,4.881,3.992515
2435,4n6z_ligand,7.8,6.92,6.7351,352.078537,-112.296,5.72805,6.15,6.388,5.72805
2436,4n7u_ligand,6.29,2.14,0.2672,117.841782,-18.873,1.476877,4.03,4.259,1.476877
2437,4mpn_ligand,6.62,6.06,3.1942,289.070465,-84.098,5.130374,5.71,6.94,5.130374
2438,4muf_ligand,6.34,7.15,7.4387,468.438141,-145.845,6.866584,7.32,9.489,6.866584
2439,4mul_ligand,6.21,7.41,8.6988,433.879822,-144.946,6.931488,7.42,8.762,6.931488
2440,4n5d_ligand,3.22,3.69,3.6356,202.875671,-47.999,3.685726,4.88,3.058,3.685726
2441,4n6g_ligand,5.47,4.61,2.8795,167.158737,-42.062,4.54621,5.11,5.777,4.54621
2442,4n7m_ligand,5.47,5.07,4.6073,219.267258,-67.854,5.036554,5.76,2.333,5.036554
2443,4na9_ligand,7.39,7.74,6.6964,402.561768,-169.54,7.276188,7.26,7.509,7.276188
2444,4ndu_ligand,2.74,4.83,1.7661,162.106033,-58.191,3.551664,4.77,4.857,3.551664
2445,4nnr_ligand,7.26,6.83,4.7897,407.197266,-149.073,5.853805,7.58,6.471,5.853805
2446,4nh7_ligand,8.4,8.69,6.7348,466.571747,-144.816,8.286078,7.81,6.917,8.286078
2447,4ncn_ligand,5.67,6.91,9.2369,386.933044,-181.312,7.635147,7.14,7.838,7.635147
2448,4nh8_ligand,8.52,8.3,6.5148,445.472534,-134.863,7.956393,7.39,7.839,7.956393
2449,4nbk_ligand,3.87,6.9,5.2422,268.709763,-99.264,5.93195,5.95,5.094,5.93195
2450,4n8q_ligand,3.42,3.5,3.0444,179.818405,-46.407,3.148035,4.98,4.862,3.148035
2451,4nbl_ligand,6.33,7.35,5.8152,300.15184,-116.009,6.15857,6.21,6.758,6.15857
2452,4nbn_ligand,4.36,7.24,6.7755,380.181427,-143.73,6.995103,6.67,7.052,6.995103
2453,4nkt_ligand,5.97,5.23,3.8941,327.144714,-74.589,4.806122,5.34,3.831,4.806122
2454,4nku_ligand,4.67,4.61,1.1569,322.773376,-92.171,4.437852,5.2,3.723,4.437852
2455,4non_ligand,5.24,5.18,3.3048,266.113037,-103.853,4.77187,5.23,3.514,4.77187
2456,4n9a_ligand,4.19,4.67,3.0833,207.914902,-56.768,3.717588,5.17,4.013,3.717588
2457,4np2_ligand,2.26,3.14,3.2336,200.135513,-64.835,3.082302,4.82,5.429,3.082302
2458,4nra_ligand,4.19,4.34,3.7353,193.924667,-64.611,3.865169,5.31,2.333,3.865169
2459,4np9_ligand,5.03,3.77,4.1454,198.957184,-40.063,2.410403,4.54,5.33,2.410403
2460,4nuc_ligand,6.04,4.85,4.1061,304.009521,-80.463,4.640132,6.29,5.495,4.640132
2461,4nue_ligand,6.82,5.4,4.6496,301.327484,-90.869,4.880924,6.21,6.634,4.880924
2462,4np3_ligand,3.3,3.88,3.3405,211.486771,-71.085,3.616532,4.92,2.837,3.616532
2463,4nl1_ligand,3.89,3.82,2.28,172.642944,-54.556,3.157207,4.82,4.14,3.157207
2464,4o0a_ligand,6.72,6.62,7.5175,456.566071,-104.419,5.936913,7.54,9.208,5.936913
2465,4nwc_ligand,5.76,5.52,5.9779,277.917603,-103.802,4.451891,5.63,5.783,4.451891
2466,4n9c_ligand,3.9,4.35,2.9122,196.938156,-57.289,3.989692,4.93,4.979,3.989692
2467,4o0b_ligand,8.3,9.85,8.7254,462.222351,-152.954,9.734384,8.09,8.179,9.734384
2468,4nxu_ligand,5.54,4.09,3.0223,324.508331,-88.554,4.323189,5.31,6.027,4.323189
2469,4o0x_ligand,7.17,8.47,3.644,430.8508,-139.441,7.689861,7.47,9.67,7.689861
2470,4o0y_ligand,7.22,7.04,4.3638,405.616516,-122.819,5.942185,6.91,6.835,5.942185
2471,4o2p_ligand,6.7,6.52,6.3196,415.887512,-133.344,6.009421,7.05,6.369,6.009421
2472,4o04_ligand,6.16,8.46,6.9143,403.887848,-124.377,8.069289,7.2,7.993,8.069289
2473,4o05_ligand,7.43,9.17,8.3052,495.647491,-155.216,9.116796,7.98,7.886,9.116796
2474,4o3f_ligand,5.56,7.06,5.0605,332.530823,-120.122,5.506657,5.95,7.086,5.506657
2475,4o07_ligand,7.38,9.8,8.9342,494.540741,-159.205,9.683438,8.07,9.044,9.683438
2476,4o9v_ligand,8.0,7.95,6.6861,413.429199,-153.558,6.954106,7.38,5.648,6.954106
2477,4o9w_ligand,7.16,4.77,4.3589,357.24649,-130.065,3.751012,5.94,5.517,3.751012
2478,4o6w_ligand,8.52,6.88,3.4606,565.286255,-200.71,5.098057,7.59,8.84,5.098057
2479,4o61_ligand,4.3,2.86,1.3043,216.221329,-18.934,2.667016,4.69,3.965,2.667016
2480,4o09_ligand,7.7,9.07,8.0749,452.576324,-142.118,8.884531,7.87,8.365,8.884531
2481,4o2c_ligand,8.0,7.05,8.4232,829.207458,-223.349,6.390374,8.66,8.939,6.390374
2482,4o97_ligand,8.52,6.4,4.5685,392.114594,-131.618,5.75184,6.92,6.281,5.75184
2483,4oct_ligand,5.05,1.32,2.3893,179.071976,-19.569,1.480674,4.5,4.211,1.480674
2484,4ogj_ligand,6.79,5.4,4.0699,302.6073,-84.744,4.714575,6.49,4.589,4.714575
2485,4nvp_ligand,7.57,7.44,6.6173,341.300491,-139.668,7.770455,6.58,5.999,7.770455
2486,4ocq_ligand,4.61,5.04,0.8546,267.49408,-72.631,4.707104,5.53,4.262,4.707104
2487,4omk_ligand,4.4,7.38,7.773,692.701447,-180.522,5.942845,8.84,9.239,5.942845
2488,4omj_ligand,5.26,7.7,7.9019,682.186188,-183.811,6.26434,8.84,9.816,6.26434
2489,4or4_ligand,4.57,4.97,5.3572,316.763458,-104.654,4.801378,5.27,6.137,4.801378
2490,4or6_ligand,5.31,4.03,3.635,302.341003,-88.203,3.804245,5.14,7.791,3.804245
2491,4og3_ligand,6.55,5.44,5.401,382.318298,-104.75,4.908372,6.59,6.9,4.908372
2492,4oiv_ligand,5.08,7.77,6.5749,502.279053,-151.188,7.262603,8.2,8.755,7.262603
2493,4og4_ligand,6.02,5.62,5.5813,376.786469,-109.707,5.009223,6.63,6.453,5.009223
2494,4omc_ligand,10.8,6.9,11.3716,578.47934,-213.573,6.301488,7.36,9.133,6.301488
2495,4ozj_ligand,5.4,6.08,7.3107,376.436066,-136.046,6.670609,6.19,5.295,6.670609
2496,4p5d_ligand,5.82,8.57,8.0312,420.046356,-171.074,8.132265,7.54,5.793,8.132265
