Receptor	Ligand	XScore_Score_pK	Energy	HPScore	HMScore	HSScore
3tb6_protein	3tb6_ligand	4.990000	-6.800000	4.86	5.25	4.85	
3pfp_protein	3pfp_ligand	5.700000	-7.780000	5.61	5.87	5.63	
3tcg_protein	3tcg_ligand	5.780000	-7.890000	5.88	5.80	5.67	
3s6t_protein	3s6t_ligand	6.140000	-8.370000	5.87	6.60	5.94	
3ttp_protein	3ttp_ligand	7.460000	-10.170000	7.23	7.99	7.15	
3t6b_protein	3t6b_ligand	8.310000	-11.340000	8.00	8.38	8.56	
3tif_protein	3tif_ligand	6.110000	-8.330000	6.07	6.33	5.93	
3u5j_protein	3u5j_ligand	6.390000	-8.720000	6.19	6.97	6.02	
3ttm_protein	3ttm_ligand	4.740000	-6.460000	4.86	4.87	4.49	
3tmk_protein	3tmk_ligand	8.210000	-11.200000	8.29	8.28	8.07	
3u5l_protein	3u5l_ligand	6.500000	-8.860000	6.28	7.09	6.12	
3tu7_protein	3tu7_ligand	7.200000	-9.820000	7.19	7.47	6.93	
3tzm_protein	3tzm_ligand	7.130000	-9.720000	7.11	7.15	7.11	
3u6i_protein	3u6i_ligand	8.770000	-11.960000	8.75	9.22	8.34	
3t1a_protein	3t1a_ligand	7.970000	-10.870000	8.03	8.34	7.53	
3u6h_protein	3u6h_ligand	8.330000	-11.360000	8.48	8.66	7.85	
3tza_protein	3tza_ligand	6.020000	-8.210000	6.00	6.14	5.92	
3u9q_protein	3u9q_ligand	5.520000	-7.530000	5.65	5.62	5.28	
3tfu_protein	3tfu_ligand	6.190000	-8.450000	6.32	6.06	6.21	
3u81_protein	3u81_ligand	6.190000	-8.440000	6.19	6.33	6.04	
3tz0_protein	3tz0_ligand	5.190000	-7.080000	5.04	5.40	5.12	
3ubd_protein	3ubd_ligand	7.060000	-9.630000	7.06	7.44	6.68	
3ueu_protein	3ueu_ligand	5.350000	-7.300000	5.72	5.35	4.99	
3uev_protein	3uev_ligand	5.600000	-7.640000	6.03	5.61	5.16	
3uew_protein	3uew_ligand	5.680000	-7.750000	6.04	5.82	5.19	
3uex_protein	3uex_ligand	5.980000	-8.160000	6.47	6.10	5.37	
3uj9_protein	3uj9_ligand	4.960000	-6.770000	4.90	5.18	4.80	
3qfy_protein	3qfy_ligand	4.880000	-6.650000	4.86	5.05	4.73	
3ujc_protein	3ujc_ligand	4.950000	-6.750000	4.88	5.17	4.79	
3ujd_protein	3ujd_ligand	4.960000	-6.760000	4.88	5.18	4.80	
3qfz_protein	3qfz_ligand	5.030000	-6.860000	4.91	5.29	4.89	
3uo4_protein	3uo4_ligand	7.410000	-10.110000	7.08	7.97	7.19	
3uod_protein	3uod_ligand	6.880000	-9.380000	6.64	7.44	6.55	
3u10_protein	3u10_ligand	6.400000	-8.730000	6.28	6.67	6.26	
3up2_protein	3up2_ligand	6.910000	-9.430000	6.73	7.37	6.63	
3upv_protein	3upv_ligand	5.940000	-8.100000	5.68	6.28	5.86	
3ug2_protein	3ug2_ligand	5.820000	-7.940000	5.74	6.21	5.52	
3uil_protein	3uil_ligand	4.130000	-5.630000	3.84	4.64	3.90	
3u8k_protein	3u8k_ligand	5.660000	-7.720000	5.56	5.91	5.51	
3u8l_protein	3u8l_ligand	6.230000	-8.500000	6.02	6.68	6.00	
3u8j_protein	3u8j_ligand	5.610000	-7.650000	5.58	5.81	5.43	
3utu_protein	3utu_ligand	7.560000	-10.310000	7.59	7.62	7.47	
3uri_protein	3uri_ligand	7.310000	-9.970000	7.28	7.62	7.01	
3uxd_protein	3uxd_ligand	5.290000	-7.220000	5.14	5.54	5.19	
3u8n_protein	3u8n_ligand	6.160000	-8.400000	5.91	6.48	6.08	
3uu1_protein	3uu1_ligand	5.320000	-7.250000	5.16	5.53	5.26	
3upk_protein	3upk_ligand	6.430000	-8.770000	6.39	6.49	6.41	
3umq_protein	3umq_ligand	3.980000	-5.430000	3.86	4.08	4.01	
3uug_protein	3uug_ligand	5.710000	-7.780000	5.53	6.04	5.55	
3v2n_protein	3v2n_ligand	5.870000	-8.010000	6.14	6.01	5.46	
3uz5_protein	3uz5_ligand	5.310000	-7.240000	5.13	5.56	5.22	
3v2p_protein	3v2p_ligand	6.490000	-8.850000	6.88	6.62	5.96	
3uzj_protein	3uzj_ligand	4.980000	-6.800000	4.97	5.13	4.85	
3v2q_protein	3v2q_ligand	6.130000	-8.370000	6.42	6.28	5.70	
3uyr_protein	3uyr_ligand	5.830000	-7.950000	6.09	5.79	5.61	
3vf5_protein	3vf5_ligand	7.760000	-10.590000	7.68	8.18	7.43	
3vf7_protein	3vf7_ligand	7.930000	-10.820000	7.92	8.23	7.64	
3usx_protein	3usx_ligand	4.450000	-6.070000	4.16	5.05	4.15	
3vfa_protein	3vfa_ligand	7.680000	-10.470000	7.63	8.01	7.38	
3v78_protein	3v78_ligand	8.210000	-11.190000	8.39	8.75	7.48	
3vfb_protein	3vfb_ligand	7.890000	-10.770000	7.85	8.28	7.55	
3vha_protein	3vha_ligand	6.700000	-9.140000	6.56	6.98	6.57	
3vhc_protein	3vhc_ligand	6.950000	-9.490000	6.88	7.16	6.82	
3vhd_protein	3vhd_ligand	6.680000	-9.110000	6.58	6.96	6.50	
3v5p_protein	3v5p_ligand	6.790000	-9.270000	6.78	7.13	6.47	
3v5t_protein	3v5t_ligand	7.470000	-10.180000	7.34	8.08	6.98	
3veh_protein	3veh_ligand	5.730000	-7.810000	5.63	5.89	5.66	
3vhk_protein	3vhk_ligand	6.810000	-9.290000	6.85	7.00	6.59	
3uxk_protein	3uxk_ligand	5.380000	-7.340000	5.37	5.60	5.19	
3v51_protein	3v51_ligand	8.620000	-11.750000	8.45	9.30	8.09	
3uxl_protein	3uxl_ligand	5.320000	-7.250000	5.28	5.49	5.18	
3vje_protein	3vje_ligand	9.240000	-12.610000	9.36	9.43	8.94	
3w9r_protein	3w9r_ligand	6.110000	-8.330000	6.03	6.18	6.11	
3w9k_protein	3w9k_ligand	5.920000	-8.070000	5.99	6.12	5.64	
3wha_protein	3wha_ligand	6.370000	-8.680000	6.41	6.62	6.07	
3sww_protein	3sww_ligand	5.950000	-8.120000	5.76	6.23	5.86	
3vvy_protein	3vvy_ligand	7.190000	-9.810000	7.26	7.78	6.54	
3vw1_protein	3vw1_ligand	7.160000	-9.770000	7.36	7.82	6.31	
3wgg_protein	3wgg_ligand	7.060000	-9.640000	7.15	7.18	6.87	
3w07_protein	3w07_ligand	6.200000	-8.450000	6.04	6.54	6.02	
3wtj_protein	3wtj_ligand	5.980000	-8.160000	5.90	6.22	5.82	
3wtl_protein	3wtl_ligand	5.870000	-8.000000	5.80	6.13	5.68	
3vx3_protein	3vx3_ligand	6.410000	-8.740000	6.29	6.72	6.21	
3wvm_protein	3wvm_ligand	6.080000	-8.300000	6.07	6.59	5.59	
3wtm_protein	3wtm_ligand	5.810000	-7.920000	5.74	6.06	5.63	
3wto_protein	3wto_ligand	5.670000	-7.740000	5.56	5.98	5.49	
3wz7_protein	3wz7_ligand	7.060000	-9.630000	7.09	7.29	6.80	
3wjw_protein	3wjw_ligand	6.540000	-8.930000	6.35	6.84	6.44	
3wz8_protein	3wz8_ligand	7.230000	-9.860000	7.08	7.70	6.91	
3wmc_protein	3wmc_ligand	5.820000	-7.940000	5.71	6.37	5.40	
3wz6_protein	3wz6_ligand	7.040000	-9.600000	6.73	7.93	6.45	
3wzn_protein	3wzn_ligand	5.860000	-7.990000	5.94	5.98	5.65	
3x00_protein	3x00_ligand	5.550000	-7.570000	5.75	5.72	5.17	
3zbx_protein	3zbx_ligand	7.250000	-9.900000	7.31	7.51	6.94	
3vtr_protein	3vtr_ligand	6.080000	-8.300000	6.07	6.19	5.99	
3hu3_protein	3hu3_ligand	6.540000	-8.920000	6.39	6.69	6.53	
3zc5_protein	3zc5_ligand	7.410000	-10.110000	7.46	7.77	7.02	
3zcl_protein	3zcl_ligand	6.880000	-9.390000	6.81	7.12	6.72	
3zi8_protein	3zi8_ligand	5.100000	-6.950000	4.88	5.39	5.03	
3zk6_protein	3zk6_ligand	7.210000	-9.830000	6.76	8.27	6.60	
3zdv_protein	3zdv_ligand	5.350000	-7.300000	5.23	5.41	5.41	
3zln_protein	3zln_ligand	8.090000	-11.030000	8.00	8.41	7.85	
3zj6_protein	3zj6_ligand	6.250000	-8.530000	6.07	6.60	6.07	
3zpu_protein	3zpu_ligand	9.110000	-12.430000	8.51	9.92	8.91	
3zlr_protein	3zlr_ligand	8.760000	-11.950000	8.87	8.90	8.50	
3zqe_protein	3zqe_ligand	5.710000	-7.790000	5.30	6.37	5.46	
3zm9_protein	3zm9_ligand	6.770000	-9.230000	6.66	7.15	6.50	
3zso_protein	3zso_ligand	6.920000	-9.440000	6.58	7.78	6.41	
3zsq_protein	3zsq_ligand	6.750000	-9.200000	6.40	7.46	6.38	
3zsx_protein	3zsx_ligand	6.440000	-8.780000	6.23	6.88	6.20	
3vjc_protein	3vjc_ligand	8.770000	-11.960000	8.76	8.98	8.56	
3zi0_protein	3zi0_ligand	5.540000	-7.550000	5.12	6.20	5.30	
3zt2_protein	3zt2_ligand	6.480000	-8.830000	6.38	6.79	6.26	
3zt3_protein	3zt3_ligand	6.540000	-8.910000	6.43	6.86	6.31	
3zyu_protein	3zyu_ligand	6.270000	-8.560000	6.27	6.55	5.99	
3zsy_protein	3zsy_ligand	6.520000	-8.890000	6.28	7.05	6.22	
3zhx_protein	3zhx_ligand	5.920000	-8.080000	5.43	6.61	5.72	
3zq9_protein	3zq9_ligand	5.200000	-7.100000	5.21	5.38	5.02	
3zyf_protein	3zyf_ligand	4.950000	-6.750000	4.80	5.24	4.80	
3zxz_protein	3zxz_ligand	6.860000	-9.350000	6.91	7.25	6.41	
4a4q_protein	4a4q_ligand	9.160000	-12.500000	8.81	9.95	8.73	
4a6b_protein	4a6b_ligand	9.170000	-12.510000	8.62	10.24	8.66	
4a6c_protein	4a6c_ligand	8.860000	-12.090000	8.70	9.34	8.55	
3w37_protein	3w37_ligand	6.480000	-8.840000	6.47	6.80	6.16	
3zze_protein	3zze_ligand	7.080000	-9.660000	7.03	7.36	6.85	
4a4v_protein	4a4v_ligand	6.380000	-8.700000	6.37	6.57	6.20	
4a4w_protein	4a4w_ligand	7.440000	-10.140000	7.57	7.57	7.17	
4a6s_protein	4a6s_ligand	5.370000	-7.320000	4.87	6.31	4.93	
3zdh_protein	3zdh_ligand	5.170000	-7.060000	5.28	5.23	5.01	
3zdg_protein	3zdg_ligand	4.990000	-6.810000	5.11	5.05	4.81	
4ab9_protein	4ab9_ligand	5.090000	-6.940000	5.05	5.04	5.17	
4a7i_protein	4a7i_ligand	6.540000	-8.920000	6.34	6.76	6.53	
4aba_protein	4aba_ligand	4.850000	-6.610000	4.77	5.04	4.73	
4abb_protein	4abb_ligand	4.940000	-6.740000	4.91	5.01	4.91	
4abd_protein	4abd_ligand	5.210000	-7.110000	5.10	5.33	5.21	
4abe_protein	4abe_ligand	5.090000	-6.940000	5.02	5.13	5.10	
4abf_protein	4abf_ligand	5.180000	-7.060000	5.01	5.44	5.08	
4abg_protein	4abg_ligand	5.110000	-6.970000	5.10	5.12	5.13	
4abh_protein	4abh_ligand	5.250000	-7.160000	5.13	5.37	5.24	
4ad6_protein	4ad6_ligand	5.130000	-6.990000	5.01	5.38	4.98	
4a95_protein	4a95_ligand	6.260000	-8.540000	6.48	6.23	6.07	
4aci_protein	4aci_ligand	5.210000	-7.100000	5.13	5.37	5.12	
4ad2_protein	4ad2_ligand	5.300000	-7.220000	5.33	5.45	5.11	
4ad3_protein	4ad3_ligand	5.380000	-7.330000	5.35	5.57	5.22	
4ag8_protein	4ag8_ligand	7.720000	-10.530000	7.94	7.86	7.36	
4ahr_protein	4ahr_ligand	5.320000	-7.250000	5.40	5.32	5.24	
4agc_protein	4agc_ligand	7.800000	-10.640000	7.96	8.01	7.43	
4ahs_protein	4ahs_ligand	5.480000	-7.470000	5.51	5.59	5.34	
3w5n_protein	3w5n_ligand	5.470000	-7.460000	5.33	5.69	5.39	
4ahu_protein	4ahu_ligand	5.120000	-6.980000	5.13	5.00	5.22	
4aoi_protein	4aoi_ligand	6.850000	-9.350000	7.06	6.84	6.66	
3zll_protein	3zll_ligand	5.000000	-6.820000	4.95	5.21	4.83	
4ap7_protein	4ap7_ligand	6.880000	-9.390000	6.97	7.03	6.65	
4acc_protein	4acc_ligand	6.160000	-8.400000	6.10	6.58	5.80	
4aqh_protein	4aqh_ligand	6.760000	-9.220000	6.46	7.09	6.72	
4a6l_protein	4a6l_ligand	7.320000	-9.980000	7.33	7.12	7.50	
4asd_protein	4asd_ligand	7.980000	-10.880000	7.87	8.47	7.59	
4ase_protein	4ase_ligand	7.770000	-10.600000	7.70	8.16	7.45	
4att_protein	4att_ligand	5.600000	-7.630000	5.44	6.10	5.25	
4auj_protein	4auj_ligand	5.730000	-7.810000	5.56	6.20	5.41	
4av4_protein	4av4_ligand	5.540000	-7.550000	5.39	5.98	5.24	
4av5_protein	4av5_ligand	6.340000	-8.650000	5.98	7.30	5.74	
3zv7_protein	3zv7_ligand	5.570000	-7.590000	5.37	5.78	5.55	
3v4t_protein	3v4t_ligand	6.440000	-8.790000	6.41	6.51	6.41	
4ax9_protein	4ax9_ligand	7.170000	-9.780000	7.14	7.55	6.82	
4afg_protein	4afg_ligand	6.060000	-8.260000	6.26	6.19	5.72	
4asj_protein	4asj_ligand	6.590000	-8.990000	6.41	7.11	6.26	
4alx_protein	4alx_ligand	6.360000	-8.680000	6.74	6.22	6.14	
4ayp_protein	4ayp_ligand	6.040000	-8.230000	5.94	6.34	5.84	
4ayq_protein	4ayq_ligand	5.090000	-6.950000	5.01	5.32	4.95	
4avs_protein	4avs_ligand	4.610000	-6.280000	4.56	4.71	4.55	
4az6_protein	4az6_ligand	6.670000	-9.090000	6.43	7.02	6.55	
4ayu_protein	4ayu_ligand	4.680000	-6.390000	4.63	4.81	4.61	
4azc_protein	4azc_ligand	5.580000	-7.620000	5.46	5.76	5.53	
4azg_protein	4azg_ligand	6.510000	-8.880000	6.32	6.82	6.39	
4azi_protein	4azi_ligand	6.680000	-9.110000	6.40	7.03	6.61	
4b0b_protein	4b0b_ligand	5.800000	-7.920000	5.83	5.72	5.87	
4b2i_protein	4b2i_ligand	4.860000	-6.620000	4.83	4.97	4.77	
4b2l_protein	4b2l_ligand	4.840000	-6.600000	4.97	4.82	4.71	
4arw_protein	4arw_ligand	5.840000	-7.970000	5.67	6.22	5.64	
4b3b_protein	4b3b_ligand	5.910000	-8.060000	5.78	6.25	5.70	
4arb_protein	4arb_ligand	6.450000	-8.800000	6.46	6.74	6.15	
4b3c_protein	4b3c_ligand	4.640000	-6.330000	4.67	4.62	4.63	
4b3d_protein	4b3d_ligand	4.800000	-6.550000	4.81	4.81	4.80	
4ara_protein	4ara_ligand	6.340000	-8.650000	6.28	6.64	6.10	
4aje_protein	4aje_ligand	5.580000	-7.610000	5.26	6.03	5.46	
4aj4_protein	4aj4_ligand	5.210000	-7.110000	5.12	5.41	5.10	
4aji_protein	4aji_ligand	5.500000	-7.500000	5.49	5.79	5.21	
4b7p_protein	4b7p_ligand	6.910000	-9.430000	6.80	7.10	6.83	
4az5_protein	4az5_ligand	5.720000	-7.800000	5.61	5.89	5.66	
4azb_protein	4azb_ligand	6.350000	-8.660000	6.16	6.51	6.38	
4b1j_protein	4b1j_ligand	6.910000	-9.430000	6.94	7.09	6.71	
4b6r_protein	4b6r_ligand	6.590000	-8.990000	6.58	6.89	6.31	
4ajl_protein	4ajl_ligand	5.920000	-8.070000	5.70	5.99	6.05	
4b33_protein	4b33_ligand	5.400000	-7.370000	5.20	5.90	5.10	
4b32_protein	4b32_ligand	5.350000	-7.290000	5.18	5.76	5.10	
4b9k_protein	4b9k_ligand	7.100000	-9.690000	6.89	7.90	6.52	
4b34_protein	4b34_ligand	4.920000	-6.710000	4.79	5.18	4.80	
4b8y_protein	4b8y_ligand	6.380000	-8.710000	6.34	6.55	6.26	
4b35_protein	4b35_ligand	5.090000	-6.940000	5.00	5.45	4.81	
4bak_protein	4bak_ligand	7.280000	-9.930000	7.30	7.41	7.13	
4bah_protein	4bah_ligand	7.090000	-9.670000	7.10	7.25	6.92	
4bam_protein	4bam_ligand	7.190000	-9.810000	7.21	7.36	7.00	
4ban_protein	4ban_ligand	7.140000	-9.740000	7.16	7.31	6.95	
4baq_protein	4baq_ligand	7.320000	-9.990000	7.28	7.51	7.17	
4bao_protein	4bao_ligand	7.240000	-9.880000	7.25	7.41	7.07	
4bc5_protein	4bc5_ligand	4.540000	-6.190000	4.50	4.74	4.38	
4b5d_protein	4b5d_ligand	5.720000	-7.800000	5.91	5.84	5.41	
4bcm_protein	4bcm_ligand	6.680000	-9.110000	6.61	6.95	6.49	
4bck_protein	4bck_ligand	5.970000	-8.140000	5.89	6.12	5.89	
4bb9_protein	4bb9_ligand	5.470000	-7.460000	5.36	5.74	5.31	
4b9z_protein	4b9z_ligand	6.610000	-9.020000	6.64	6.89	6.30	
4bcs_protein	4bcs_ligand	6.120000	-8.340000	6.22	6.25	5.88	
4bcn_protein	4bcn_ligand	6.400000	-8.730000	6.33	6.61	6.26	
4bj8_protein	4bj8_ligand	6.150000	-8.390000	6.20	6.33	5.93	
4bco_protein	4bco_ligand	7.170000	-9.780000	7.11	7.32	7.08	
4bi6_protein	4bi6_ligand	4.610000	-6.280000	4.54	4.83	4.45	
4bcp_protein	4bcp_ligand	6.760000	-9.210000	6.69	6.85	6.73	
4bi7_protein	4bi7_ligand	4.630000	-6.320000	4.56	4.86	4.47	
4bks_protein	4bks_ligand	6.100000	-8.330000	6.03	6.60	5.68	
4bqg_protein	4bqg_ligand	6.010000	-8.200000	5.90	6.33	5.80	
4bqs_protein	4bqs_ligand	5.510000	-7.510000	5.31	5.86	5.35	
4bkt_protein	4bkt_ligand	5.300000	-7.230000	5.23	5.48	5.18	
4buq_protein	4buq_ligand	5.330000	-7.280000	5.14	5.92	4.95	
4bs0_protein	4bs0_ligand	5.220000	-7.120000	5.23	5.26	5.18	
4btk_protein	4btk_ligand	6.210000	-8.470000	6.19	6.59	5.85	
4c2v_protein	4c2v_ligand	7.240000	-9.880000	7.27	7.52	6.94	
4c1t_protein	4c1t_ligand	7.030000	-9.580000	7.00	7.25	6.83	
4c1u_protein	4c1u_ligand	6.340000	-8.650000	6.28	6.59	6.17	
4bqh_protein	4bqh_ligand	6.820000	-9.300000	6.56	7.21	6.68	
4c1y_protein	4c1y_ligand	4.820000	-6.580000	4.66	5.06	4.75	
4c9x_protein	4c9x_ligand	6.940000	-9.460000	6.83	7.61	6.37	
4c52_protein	4c52_ligand	7.190000	-9.810000	7.16	7.69	6.73	
4c5d_protein	4c5d_ligand	7.780000	-10.610000	7.70	8.45	7.19	
4cc5_protein	4cc5_ligand	4.910000	-6.700000	4.79	5.12	4.83	
4cd0_protein	4cd0_ligand	6.730000	-9.190000	6.45	7.23	6.52	
4b76_protein	4b76_ligand	5.560000	-7.590000	5.61	5.52	5.56	
4cd4_protein	4cd4_ligand	5.630000	-7.680000	5.57	5.89	5.43	
4cfl_protein	4cfl_ligand	6.340000	-8.640000	6.32	6.90	5.79	
4br3_protein	4br3_ligand	6.610000	-9.010000	6.81	7.10	5.92	
4cd5_protein	4cd5_ligand	5.850000	-7.980000	5.77	6.10	5.68	
4b73_protein	4b73_ligand	6.510000	-8.870000	6.30	6.60	6.62	
4ceb_protein	4ceb_ligand	6.610000	-9.020000	6.61	6.82	6.41	
3k1j_protein	3k1j_ligand	6.280000	-8.560000	6.22	6.53	6.09	
4cig_protein	4cig_ligand	6.380000	-8.700000	6.18	6.98	5.96	
4cg9_protein	4cg9_ligand	6.780000	-9.240000	6.97	7.25	6.11	
4b74_protein	4b74_ligand	6.960000	-9.490000	6.79	6.98	7.11	
4cj4_protein	4cj4_ligand	6.220000	-8.480000	6.09	6.57	6.00	
4cgi_protein	4cgi_ligand	6.510000	-8.880000	6.46	6.91	6.17	
4cjp_protein	4cjp_ligand	6.150000	-8.390000	5.98	6.54	5.93	
4cjq_protein	4cjq_ligand	6.260000	-8.540000	6.18	6.47	6.14	
4cjr_protein	4cjr_ligand	6.240000	-8.520000	6.03	6.96	5.74	
4b6o_protein	4b6o_ligand	6.360000	-8.670000	6.31	6.55	6.22	
4ck3_protein	4ck3_ligand	5.900000	-8.050000	5.79	6.28	5.63	
4cl6_protein	4cl6_ligand	6.620000	-9.030000	6.43	6.86	6.57	
4cp7_protein	4cp7_ligand	8.850000	-12.080000	8.36	9.61	8.59	
4cpr_protein	4cpr_ligand	8.440000	-11.510000	8.17	8.84	8.30	
4clj_protein	4clj_ligand	6.730000	-9.180000	6.55	7.27	6.37	
4cps_protein	4cps_ligand	9.010000	-12.290000	8.54	9.84	8.65	
4cmo_protein	4cmo_ligand	6.160000	-8.410000	6.01	6.59	5.89	
4b7j_protein	4b7j_ligand	5.710000	-7.780000	5.40	5.73	5.98	
4cg8_protein	4cg8_ligand	7.780000	-10.610000	7.58	8.96	6.79	
4cpw_protein	4cpw_ligand	8.990000	-12.260000	8.55	9.66	8.76	
4cp5_protein	4cp5_ligand	4.790000	-6.540000	4.76	4.82	4.79	
4cga_protein	4cga_ligand	6.650000	-9.070000	6.89	7.04	6.02	
4cpt_protein	4cpt_ligand	9.190000	-12.540000	8.78	10.02	8.78	
4cra_protein	4cra_ligand	7.380000	-10.070000	7.11	7.79	7.25	
4crb_protein	4crb_ligand	7.610000	-10.380000	7.27	7.97	7.59	
4crf_protein	4crf_ligand	7.640000	-10.410000	7.33	7.98	7.59	
4css_protein	4css_ligand	6.150000	-8.380000	5.92	6.92	5.60	
4csd_protein	4csd_ligand	5.230000	-7.130000	5.04	5.50	5.15	
4cst_protein	4cst_ligand	6.440000	-8.780000	6.12	7.36	5.83	
4b6p_protein	4b6p_ligand	6.660000	-9.090000	6.64	6.86	6.49	
4cr5_protein	4cr5_ligand	5.410000	-7.380000	5.22	5.39	5.63	
4cr9_protein	4cr9_ligand	5.270000	-7.190000	5.17	5.28	5.36	
4c6u_protein	4c6u_ligand	6.050000	-8.250000	5.89	5.88	6.39	
4cwo_protein	4cwo_ligand	6.470000	-8.820000	6.58	6.66	6.16	
4cwp_protein	4cwp_ligand	6.390000	-8.720000	6.36	6.74	6.07	
4cwq_protein	4cwq_ligand	6.510000	-8.880000	6.53	6.88	6.13	
4cwr_protein	4cwr_ligand	6.310000	-8.610000	6.40	6.45	6.09	
4cwn_protein	4cwn_ligand	6.320000	-8.620000	6.38	6.65	5.94	
4cwf_protein	4cwf_ligand	5.870000	-8.000000	5.91	6.03	5.66	
4cws_protein	4cws_ligand	6.500000	-8.860000	6.55	6.81	6.13	
4cwt_protein	4cwt_ligand	6.450000	-8.800000	6.51	6.77	6.08	
4b7r_protein	4b7r_ligand	5.770000	-7.880000	5.44	5.86	6.02	
4crl_protein	4crl_ligand	7.150000	-9.760000	7.04	7.66	6.77	
4d3h_protein	4d3h_ligand	6.900000	-9.420000	6.79	7.17	6.75	
4cpy_protein	4cpy_ligand	5.760000	-7.860000	5.42	5.91	5.95	
4cpz_protein	4cpz_ligand	5.850000	-7.970000	5.73	5.98	5.84	
4d7b_protein	4d7b_ligand	6.170000	-8.410000	6.04	6.56	5.90	
4d1j_protein	4d1j_ligand	4.900000	-6.690000	4.79	5.15	4.76	
4czs_protein	4czs_ligand	6.460000	-8.820000	6.56	6.66	6.16	
4de0_protein	4de0_ligand	6.010000	-8.190000	5.89	5.95	6.17	
4d8z_protein	4d8z_ligand	5.180000	-7.070000	5.12	5.41	5.01	
4dcs_protein	4dcs_ligand	5.910000	-8.060000	5.79	6.22	5.71	
4daf_protein	4daf_ligand	5.180000	-7.070000	5.11	5.41	5.03	
4ciw_protein	4ciw_ligand	5.720000	-7.810000	5.66	5.94	5.57	
4db7_protein	4db7_ligand	5.080000	-6.930000	5.07	5.19	4.98	
4cu7_protein	4cu7_ligand	5.190000	-7.080000	5.11	5.44	5.04	
4cu8_protein	4cu8_ligand	5.270000	-7.190000	5.12	5.57	5.13	
4ddh_protein	4ddh_ligand	5.370000	-7.320000	5.35	5.42	5.33	
4ddk_protein	4ddk_ligand	5.240000	-7.150000	5.19	5.33	5.21	
4dfg_protein	4dfg_ligand	7.900000	-10.780000	7.76	8.48	7.46	
4djo_protein	4djo_ligand	7.570000	-10.320000	7.29	8.31	7.11	
4djp_protein	4djp_ligand	7.460000	-10.180000	7.29	8.03	7.07	
4ddm_protein	4ddm_ligand	4.890000	-6.670000	4.77	5.09	4.79	
4djq_protein	4djq_ligand	7.300000	-9.960000	7.20	7.86	6.85	
4djr_protein	4djr_ligand	7.420000	-10.130000	7.29	7.93	7.06	
4der_protein	4der_ligand	5.710000	-7.790000	5.60	6.07	5.47	
4det_protein	4det_ligand	5.630000	-7.680000	5.54	5.97	5.40	
4des_protein	4des_ligand	6.020000	-8.210000	5.95	6.28	5.83	
4deu_protein	4deu_ligand	5.900000	-8.040000	5.84	6.07	5.77	
4b6s_protein	4b6s_ligand	6.560000	-8.950000	6.56	6.76	6.38	
4dew_protein	4dew_ligand	5.720000	-7.800000	5.59	6.16	5.41	
4da5_protein	4da5_ligand	6.080000	-8.300000	6.01	6.39	5.85	
4de5_protein	4de5_ligand	5.220000	-7.130000	5.09	5.46	5.12	
4dju_protein	4dju_ligand	6.080000	-8.290000	5.89	6.68	5.65	
4djv_protein	4djv_ligand	7.020000	-9.580000	6.81	7.75	6.50	
4djw_protein	4djw_ligand	6.660000	-9.090000	6.43	7.41	6.15	
4dko_protein	4dko_ligand	6.450000	-8.800000	5.92	7.09	6.35	
4djx_protein	4djx_ligand	6.460000	-8.820000	6.19	7.03	6.17	
4dkp_protein	4dkp_ligand	6.120000	-8.350000	5.93	6.28	6.15	
4dkq_protein	4dkq_ligand	6.380000	-8.710000	6.20	6.52	6.42	
4dst_protein	4dst_ligand	4.840000	-6.600000	4.63	4.99	4.91	
4djy_protein	4djy_ligand	6.680000	-9.120000	6.49	6.99	6.56	
4dkr_protein	4dkr_ligand	6.290000	-8.580000	6.01	6.62	6.25	
4dsu_protein	4dsu_ligand	4.720000	-6.440000	4.72	4.72	4.72	
4duh_protein	4duh_ligand	6.460000	-8.820000	6.33	6.36	6.69	
4dld_protein	4dld_ligand	6.130000	-8.360000	6.02	6.39	5.98	
4e4l_protein	4e4l_ligand	6.120000	-8.350000	6.14	6.28	5.94	
4e4n_protein	4e4n_ligand	6.430000	-8.780000	6.18	6.67	6.45	
4e6q_protein	4e6q_ligand	6.150000	-8.390000	6.15	6.01	6.30	
4dbm_protein	4dbm_ligand	6.150000	-8.390000	5.96	6.71	5.79	
4e67_protein	4e67_ligand	7.240000	-9.870000	7.38	7.56	6.76	
4e7r_protein	4e7r_ligand	7.850000	-10.700000	7.56	8.53	7.44	
4dmw_protein	4dmw_ligand	5.260000	-7.180000	5.28	5.45	5.05	
4egk_protein	4egk_ligand	6.590000	-8.990000	6.35	6.89	6.52	
4dq2_protein	4dq2_ligand	7.640000	-10.410000	7.77	7.57	7.56	
4ehz_protein	4ehz_ligand	5.760000	-7.850000	5.72	5.85	5.70	
4e5w_protein	4e5w_ligand	6.660000	-9.080000	6.50	6.80	6.67	
4ej8_protein	4ej8_ligand	4.430000	-6.040000	4.47	4.47	4.34	
4e6d_protein	4e6d_ligand	5.940000	-8.110000	6.02	5.93	5.88	
4dzy_protein	4dzy_ligand	5.750000	-7.840000	5.82	5.94	5.49	
4ejl_protein	4ejl_ligand	4.510000	-6.160000	4.63	4.51	4.40	
4ei4_protein	4ei4_ligand	6.000000	-8.180000	5.93	6.01	6.06	
4do5_protein	4do5_ligand	5.070000	-6.910000	4.94	5.33	4.92	
