ligand,pK(vina)
4ap7_ligand,7.693761
4ajl_ligand,4.952925
4aji_ligand,3.079252
4aqh_ligand,5.961774
4ase_ligand,8.679509
4asd_ligand,8.782449
4ara_ligand,6.10335
4arb_ligand,6.404626
4att_ligand,4.668768
4auj_ligand,4.86121
4arw_ligand,5.10989
4asj_ligand,6.695828
4av4_ligand,4.237632
4av5_ligand,5.368886
4ax9_ligand,6.618358
4ayp_ligand,5.235161
4ayq_ligand,3.536026
4avs_ligand,2.18772
4az6_ligand,6.163035
4az5_ligand,4.581114
4ayu_ligand,2.89217
4azc_ligand,4.380425
4azb_ligand,5.683306
4azg_ligand,5.231202
4azi_ligand,6.068688
4b0b_ligand,5.330139
4b2i_ligand,3.037053
4b1j_ligand,7.481444
4b2l_ligand,3.010418
4b3b_ligand,4.331224
4b3c_ligand,2.791796
4b3d_ligand,2.960601
4b6r_ligand,6.190389
4b5d_ligand,4.625594
4b7p_ligand,6.794113
4b6o_ligand,6.759179
4b6p_ligand,8.17585
4b8y_ligand,5.161488
4b7j_ligand,4.776562
4b6s_ligand,8.242889
4b9k_ligand,6.775037
4b32_ligand,3.810359
4b33_ligand,3.914069
4b34_ligand,1.48945
4b7r_ligand,4.593431
4b9z_ligand,4.984025
4b35_ligand,3.651935
4bah_ligand,6.855748
4bak_ligand,6.942412
4bam_ligand,7.243204
4b73_ligand,5.485652
4b74_ligand,6.131723
4ban_ligand,7.191921
4bao_ligand,6.920337
4b76_ligand,4.725726
4baq_ligand,6.905213
4bc5_ligand,3.060718
4bck_ligand,4.635645
4bb9_ligand,5.315916
4bcn_ligand,5.002647
4bcm_ligand,5.031679
4bco_ligand,6.443116
4bcs_ligand,6.041136
4bj8_ligand,5.49294
4bcp_ligand,5.624597
4bks_ligand,5.619142
4bi6_ligand,2.132045
4bi7_ligand,2.369377
4bqs_ligand,4.599413
4bqg_ligand,5.779399
4bkt_ligand,4.452089
4bs0_ligand,4.004076
4bqh_ligand,7.226195
4br3_ligand,6.361474
4buq_ligand,3.722258
4btk_ligand,5.337111
4c1t_ligand,7.11621
4c1u_ligand,6.423849
4c2v_ligand,5.849128
4c1y_ligand,3.232463
4c5d_ligand,7.112434
4c9x_ligand,5.545066
4c52_ligand,6.287097
4c6u_ligand,3.426371
4cc5_ligand,3.20511
4cd0_ligand,5.90143
4ceb_ligand,5.653497
4cfl_ligand,6.096884
4cd5_ligand,4.850198
4cd4_ligand,5.063292
4cg9_ligand,6.644238
4cg8_ligand,6.90151
4cig_ligand,5.578299
4cgi_ligand,5.387603
4cga_ligand,6.50187
4cj4_ligand,5.25684
4cjp_ligand,4.917302
4cjq_ligand,5.367331
4cjr_ligand,5.505506
4ck3_ligand,4.528123
4cl6_ligand,6.080799
4ciw_ligand,5.521481
4clj_ligand,8.045674
4cmo_ligand,5.563182
4cp5_ligand,3.728541
4cp7_ligand,5.838783
4cpr_ligand,5.804934
4cps_ligand,7.186965
4cpt_ligand,8.012999
4cpw_ligand,7.616481
4cra_ligand,6.688732
4cr5_ligand,4.498937
4cr9_ligand,4.253387
4cpy_ligand,4.518651
4crb_ligand,6.349509
4cpz_ligand,5.951752
4crf_ligand,7.254516
4css_ligand,5.308878
4cst_ligand,5.644076
4csd_ligand,4.349003
4crl_ligand,7.824575
4cwo_ligand,6.821957
4cu7_ligand,3.866811
4cwf_ligand,5.575652
4cwn_ligand,6.824765
4cwp_ligand,7.263519
4cu8_ligand,3.888812
4cwq_ligand,7.24228
4cwr_ligand,7.619714
4cws_ligand,6.837947
4cwt_ligand,7.113893
4d3h_ligand,9.32011
4d1j_ligand,3.616422
4d7b_ligand,4.61423
4czs_ligand,4.833424
4d8z_ligand,4.122126
4da5_ligand,4.723152
4daf_ligand,3.828314
4db7_ligand,4.100169
4dcs_ligand,5.785902
4ddh_ligand,4.241019
4ddk_ligand,4.202537
4dbm_ligand,4.416584
4de0_ligand,6.008548
4ddm_ligand,2.437493
4de5_ligand,4.065066
4der_ligand,2.667053
4des_ligand,2.976789
4det_ligand,3.158057
4dfg_ligand,6.735814
4deu_ligand,4.391994
4dew_ligand,0.502434
4djo_ligand,5.844516
4djp_ligand,6.048043
4djq_ligand,5.891672
4djr_ligand,5.13522
4dju_ligand,5.607691
4djv_ligand,6.868204
4djw_ligand,6.28335
4djx_ligand,6.121987
4djy_ligand,6.312529
4dko_ligand,5.784025
4dkp_ligand,5.959413
4dkr_ligand,6.522507
4dkq_ligand,7.072089
4dld_ligand,5.272859
4dmw_ligand,4.517735
4dst_ligand,2.698658
4dsu_ligand,3.084113
4do5_ligand,3.999567
4dq2_ligand,7.874729
4duh_ligand,6.012163
4e4l_ligand,6.828607
4dzy_ligand,5.094501
4e4n_ligand,6.347537
4dy6_ligand,5.725821
4e0x_ligand,5.126474
4e1k_ligand,7.232331
4e6q_ligand,6.068365
4e5w_ligand,7.243842
4e7r_ligand,7.332353
4e6d_ligand,6.274252
4e67_ligand,5.576239
4egk_ligand,7.79195
4ehz_ligand,5.258079
4ef6_ligand,3.898321
4efk_ligand,1.592353
4e70_ligand,4.828196
4eb8_ligand,6.237507
4ei4_ligand,6.090227
4ej8_ligand,2.212903
4ejl_ligand,2.800205
4elf_ligand,7.726796
4elg_ligand,7.731752
4ek9_ligand,4.875587
4elh_ligand,7.274912
4emf_ligand,5.691965
4emr_ligand,5.320264
4en4_ligand,3.006921
4eo6_ligand,5.600125
4epy_ligand,4.343013
4eo8_ligand,5.511151
4eoh_ligand,1.888651
4eor_ligand,5.939245
4erf_ligand,4.417177
4er1_ligand,6.753277
4er2_ligand,5.122082
4etz_ligand,4.9639
4eu0_ligand,5.307265
4euo_ligand,3.467258
4ew2_ligand,4.890792
4ewn_ligand,4.223328
4ezx_ligand,4.375374
4f1l_ligand,6.012104
4ezr_ligand,4.830044
4f0c_ligand,4.627669
4f2w_ligand,6.310139
4ezz_ligand,4.918974
4f3c_ligand,6.489172
4f5y_ligand,7.845704
4f3k_ligand,5.708724
4f7v_ligand,8.722383
4f6u_ligand,8.149692
4f9y_ligand,7.239245
4f6w_ligand,9.98805
4fcq_ligand,4.28577
4f09_ligand,5.330572
4fev_ligand,5.847625
4ffs_ligand,6.392434
4fht_ligand,4.258915
4fk6_ligand,6.670902
4flp_ligand,5.7925
4fl1_ligand,4.320528
4fl2_ligand,5.766767
4fsl_ligand,6.660073
4fxp_ligand,6.043922
4fxq_ligand,6.484289
4fs4_ligand,6.200513
4g0p_ligand,3.21846
4fzj_ligand,0.951129
4g0q_ligand,3.319289
4g0y_ligand,3.558475
4fys_ligand,5.81088
4g0z_ligand,3.395271
4g4p_ligand,4.855931
4g8m_ligand,5.408101
4g5f_ligand,4.042265
4g8v_ligand,1.443211
4g8n_ligand,4.876122
4fp1_ligand,3.869905
4g8y_ligand,2.946195
4g90_ligand,2.074032
4g95_ligand,6.016004
4ge1_ligand,3.957361
4gah_ligand,4.394091
4gfo_ligand,5.359274
4gg7_ligand,7.38099
4gfm_ligand,5.371444
4ggz_ligand,6.020301
4ghi_ligand,7.294377
4gid_ligand,7.921261
4gih_ligand,6.102493
4gii_ligand,6.324509
4gj2_ligand,6.494787
4gj3_ligand,6.593922
4gny_ligand,3.828226
4gkm_ligand,5.340828
4gqp_ligand,5.126378
4gq4_ligand,6.02456
4gqq_ligand,2.82651
4gqr_ligand,4.244304
4gu9_ligand,4.333365
4gue_ligand,6.798343
4gu6_ligand,6.052287
4h3f_ligand,8.046848
4h3g_ligand,8.218893
4gzp_ligand,3.5689
4gzt_ligand,3.142889
4h3j_ligand,7.748182
4gzw_ligand,4.177405
4h7q_ligand,3.099435
4gzx_ligand,4.262529
4h75_ligand,3.387889
4h42_ligand,3.193292
4hbm_ligand,6.223328
4h81_ligand,4.472757
4h85_ligand,3.295762
4ha5_ligand,5.213109
4hdb_ligand,5.501261
4hdf_ligand,6.099626
4hdp_ligand,7.062573
4heg_ligand,5.97
4hfp_ligand,6.428988
4hla_ligand,6.133087
4hge_ligand,6.53937
4hj2_ligand,3.718387
4hp0_ligand,4.971364
4hpi_ligand,4.227735
4hw3_ligand,7.041056
4hy1_ligand,6.237669
4hym_ligand,4.086672
4hzm_ligand,3.902251
4i5c_ligand,6.728878
4i7j_ligand,3.945601
4i3z_ligand,5.076364
4i7k_ligand,4.243658
4i7l_ligand,4.018548
4i7m_ligand,3.847185
4i7p_ligand,2.289633
4i8n_ligand,5.157111
4i8w_ligand,5.058072
4i8z_ligand,5.657559
4ibb_ligand,4.888284
4ibc_ligand,5.226122
4i54_ligand,6.864069
4ibd_ligand,5.137859
4i8x_ligand,3.860953
4ibe_ligand,4.721415
4ibf_ligand,4.024985
4i9h_ligand,6.147361
4i9u_ligand,3.926166
4ibi_ligand,5.959531
4ibg_ligand,5.458328
4ibk_ligand,5.512874
4ibj_ligand,6.088233
4ieh_ligand,7.415
4idn_ligand,8.442155
4ido_ligand,8.120139
4ih5_ligand,4.224326
4ih6_ligand,5.470147
4io2_ligand,4.408446
4ij1_ligand,5.28357
4io3_ligand,4.051085
4iic_ligand,4.01846
4iid_ligand,3.922742
4io4_ligand,3.615374
4io5_ligand,3.425535
4io6_ligand,3.791173
4iif_ligand,4.624098
4io7_ligand,4.945015
4ish_ligand,8.219267
4isi_ligand,6.95695
4ipi_ligand,3.176056
4ipj_ligand,2.973805
4isu_ligand,4.290154
4ipn_ligand,4.263974
4iva_ligand,6.579868
4ivb_ligand,7.17989
4ivc_ligand,7.190806
4iuo_ligand,5.190403
4ivd_ligand,6.530235
4j7d_ligand,6.091767
4j7e_ligand,4.727309
4j93_ligand,5.500931
4j28_ligand,4.46846
4jfm_ligand,4.78651
4jfk_ligand,5.195315
4jal_ligand,5.759348
4jkw_ligand,2.55695
4jfs_ligand,4.515836
4jwk_ligand,2.581965
4jia_ligand,6.792199
4jn2_ligand,6.439457
4jx9_ligand,2.963211
4jxs_ligand,5.047595
4jym_ligand,4.456826
4jh0_ligand,4.448233
4jyb_ligand,6.412617
4jyc_ligand,5.612089
4jyt_ligand,5.721745
4jz1_ligand,7.195887
4jzi_ligand,5.736848
4k3h_ligand,8.438996
4k4j_ligand,8.125015
4k0y_ligand,6.996818
4k6i_ligand,9.331752
4k7i_ligand,2.528094
4k7n_ligand,3.301239
4k55_ligand,1.328277
4k9y_ligand,9.89404
4k18_ligand,6.783834
4k77_ligand,5.268226
4kao_ligand,8.109633
4kb9_ligand,6.570015
4kax_ligand,7.742375
4kfq_ligand,4.504274
4km0_ligand,5.04357
4kcx_ligand,4.21085
4km2_ligand,4.553057
4kmz_ligand,6.927353
4kn0_ligand,7.243622
4kn1_ligand,6.87456
4kow_ligand,6.316877
4kqp_ligand,4.838409
4kiu_ligand,6.27846
4ksy_ligand,9.212537
4kxn_ligand,5.97654
4ks1_ligand,4.935982
4ks4_ligand,4.26357
4ko8_ligand,6.586848
4kz3_ligand,3.728776
4kwf_ligand,5.871217
4kz4_ligand,3.751921
4kz6_ligand,3.737933
4kwg_ligand,2.423013
4kz7_ligand,4.114377
4l4z_ligand,4.234062
4l4v_ligand,6.284787
4l50_ligand,4.878578
4lar_ligand,4.828607
4l51_ligand,4.329714
4l9i_ligand,5.37945
4lhv_ligand,6.656891
4lj5_ligand,5.509648
4lj8_ligand,6.032713
4ljh_ligand,4.046525
4lhm_ligand,4.842933
4lk7_ligand,4.264699
4ll3_ligand,5.522412
4loh_ligand,10.871261
4loi_ligand,10.541481
4lov_ligand,4.291628
4loo_ligand,7.193974
4lkk_ligand,3.776378
4loy_ligand,7.466987
4lko_ligand,4.640477
4luz_ligand,5.72151
4lvt_ligand,7.935579
4lxd_ligand,7.126979
4lyw_ligand,4.562067
4lzr_ligand,5.065645
4lzs_ligand,4.307947
4ly9_ligand,8.585396
4m0r_ligand,6.581503
4m0y_ligand,5.313585
4m7j_ligand,4.281987
4m8e_ligand,8.395587
4m0e_ligand,8.528204
4m8h_ligand,8.245858
4m8x_ligand,4.504201
4m8y_ligand,5.390015
4m12_ligand,7.926195
4m13_ligand,8.130755
4mc1_ligand,7.445982
4m14_ligand,4.588072
4mc2_ligand,7.441158
4mc6_ligand,7.781598
4mc9_ligand,6.904729
4mdn_ligand,6.991004
4mgd_ligand,5.677317
4mhz_ligand,2.795125
4m6u_ligand,1.579809
4mmm_ligand,2.876298
4mme_ligand,6.696848
4mjp_ligand,4.930521
4mn3_ligand,5.872251
4mmp_ligand,5.46563
4mnp_ligand,5.302383
4mr3_ligand,4.125755
4mr6_ligand,4.524663
4mo4_ligand,3.992515
4mq6_ligand,6.141686
4mpn_ligand,5.130374
4mre_ligand,2.856312
4mrg_ligand,3.785909
4muv_ligand,8.67055
4mss_ligand,4.383878
4muf_ligand,6.866584
4mul_ligand,6.931488
4myd_ligand,4.818526
4n6z_ligand,5.72805
4n5d_ligand,3.685726
4n7u_ligand,1.476877
4n6g_ligand,4.54621
4n7m_ligand,5.036554
4n8q_ligand,3.148035
4na9_ligand,7.276188
4n9a_ligand,3.717588
4nbk_ligand,5.93195
4nbl_ligand,6.15857
4n9c_ligand,3.989692
4ndu_ligand,3.551664
4ncn_ligand,7.635147
4nbn_ligand,6.995103
4nh7_ligand,8.286078
4nh8_ligand,7.956393
4nkt_ligand,4.806122
4nnr_ligand,5.853805
4nku_ligand,4.437852
4non_ligand,4.77187
4np2_ligand,3.082302
4nl1_ligand,3.157207
4np3_ligand,3.616532
4np9_ligand,2.410403
4nra_ligand,3.865169
4nuc_ligand,4.640132
4nue_ligand,4.880924
4nwc_ligand,4.451891
4nxu_ligand,4.323189
4o0a_ligand,5.936913
4nxv_ligand,4.253233
4o0b_ligand,9.734384
4nvp_ligand,7.770455
4o0x_ligand,7.689861
4o0y_ligand,5.942185
4o2p_ligand,6.009421
4o2c_ligand,6.390374
4o3f_ligand,5.506657
4o04_ligand,8.069289
4o05_ligand,9.116796
4o6w_ligand,5.098057
4o07_ligand,9.683438
4o9v_ligand,6.954106
4o9w_ligand,3.751012
4o09_ligand,8.884531
4o61_ligand,2.667016
4o97_ligand,5.75184
4o2b_ligand,7.345887
4ocq_ligand,4.707104
4oct_ligand,1.480674
4oag_ligand,3.848174
4og3_ligand,4.908372
4og4_ligand,5.009223
4ogj_ligand,4.714575
4oiv_ligand,7.262603
4oks_ligand,5.384428
4omj_ligand,6.26434
4omk_ligand,5.942845
4omc_ligand,6.301488
4or4_ligand,4.801378
4or6_ligand,3.804245
4oma_ligand,5.793783
4ovf_ligand,4.274289
4ovg_ligand,4.035037
4ovh_ligand,3.872881
4owm_ligand,3.407207
4ozj_ligand,6.670609
4owv_ligand,3.143057
4p3h_ligand,4.355279
4p5d_ligand,8.132265
4p5z_ligand,8.536422
4p6c_ligand,3.198079
4p6w_ligand,8.176173
4p58_ligand,4.375381
4p6x_ligand,7.327647
4pcs_ligand,5.026745
4pee_ligand,5.432559
4pb2_ligand,4.637559
4pft_ligand,6.82423
4pfu_ligand,5.465557
4pf5_ligand,3.829413
4pg9_ligand,7.304729
4phu_ligand,6.246041
4pin_ligand,3.423783
4pmm_ligand,8.815748
4poh_ligand,8.261488
4poj_ligand,8.603306
4pop_ligand,5.637522
4pnu_ligand,4.349589
4pow_ligand,6.193614
4pox_ligand,5.394362
4pp0_ligand,6.18566
4pp3_ligand,8.545528
4pp5_ligand,7.704707
4psb_ligand,7.173732
4q0k_ligand,7.482999
4pzv_ligand,6.784589
4q1x_ligand,6.892881
4q1w_ligand,6.856092
4pvx_ligand,6.093189
4pvy_ligand,6.732603
4q1y_ligand,6.784531
4q46_ligand,4.713072
4q9o_ligand,8.337903
4q19_ligand,4.802302
4q3u_ligand,4.06871
4q3t_ligand,3.468043
4q93_ligand,4.66956
4qb3_ligand,5.336254
4qdk_ligand,6.002999
4qem_ligand,3.569927
4qer_ligand,4.676672
4qev_ligand,5.82327
4qew_ligand,5.886518
4qac_ligand,7.667016
4qf7_ligand,3.364238
4qf8_ligand,2.110762
4qf9_ligand,3.889377
4qfl_ligand,5.172258
4qfn_ligand,4.259098
4qgd_ligand,2.848526
4qfo_ligand,4.448248
4qfp_ligand,3.961378
4qgi_ligand,8.33489
4ql1_ligand,6.973182
4qp2_ligand,3.83272
4qpd_ligand,5.791921
4qrh_ligand,7.406378
4qsu_ligand,2.69478
4qsv_ligand,3.218622
4qnb_ligand,7.381833
4qxo_ligand,7.00162
4qyy_ligand,8.277955
4qij_ligand,7.74632
4r4c_ligand,6.513035
4r4i_ligand,5.883812
4r3w_ligand,4.53838
4r4o_ligand,4.594304
4r4t_ligand,5.703541
4r06_ligand,7.204758
4r0a_ligand,5.768218
4r73_ligand,6.566576
4r74_ligand,5.054575
4r75_ligand,6.096811
4ra1_ligand,5.12349
4rd0_ligand,6.874765
4rak_ligand,8.561173
4rd3_ligand,6.929516
4rdn_ligand,4.129509
4rd6_ligand,6.582053
4re2_ligand,3.677456
4rfr_ligand,6.920601
4rfm_ligand,8.436466
4rj8_ligand,6.024304
4re4_ligand,3.881488
4rhx_ligand,5.255997
4rlt_ligand,5.699516
4rlu_ligand,5.555007
4rlw_ligand,5.437016
4rpn_ligand,4.721393
4rpo_ligand,4.829883
4rqk_ligand,4.737889
4rqv_ligand,5.179252
4rr6_ligand,6.200073
4rra_ligand,6.083695
4rsk_ligand,3.394575
4rrf_ligand,6.346694
4rrg_ligand,4.945117
4rvr_ligand,4.510726
4rwj_ligand,7.481056
4rww_ligand,8.949721
4sga_ligand,5.384553
4s1g_ligand,7.489223
4ryd_ligand,6.220286
4tjz_ligand,3.050799
4tkb_ligand,3.16368
4tkh_ligand,3.588754
4std_ligand,7.332009
4tkj_ligand,3.813732
4tim_ligand,2.277757
4tmk_ligand,7.394274
4tpw_ligand,3.771129
4tqn_ligand,5.12574
4tt2_ligand,3.046283
4trc_ligand,2.644304
4ts1_ligand,3.279113
4tte_ligand,3.834861
4tu4_ligand,4.646569
4tun_ligand,-0.323292
4ty6_ligand,6.572999
4ty7_ligand,6.918739
4tz2_ligand,4.661701
4u5n_ligand,4.000367
4u0w_ligand,6.481041
4u5o_ligand,2.72121
4u8w_ligand,5.378138
4u5s_ligand,2.879384
4u0f_ligand,6.242661
4u54_ligand,2.612427
4u43_ligand,4.786716
4ua8_ligand,6.092023
4uac_ligand,6.615887
4ucc_ligand,4.064406
4ual_ligand,6.528468
4uc5_ligand,5.080506
4ufi_ligand,4.052881
4ufj_ligand,4.841972
4ufk_ligand,3.810359
4uin_ligand,5.748094
4ufl_ligand,3.960235
4ufm_ligand,4.663123
4uj1_ligand,6.142962
4uj2_ligand,6.876474
4uja_ligand,5.769509
4ujb_ligand,7.096972
4und_ligand,7.989545
4unp_ligand,5.210843
4uof_ligand,4.705088
4uma_ligand,2.71574
4umb_ligand,3.077749
4umc_ligand,3.051635
4ury_ligand,5.152236
4uye_ligand,5.358768
4uoh_ligand,5.286518
4uyf_ligand,6.58794
4us3_ligand,6.681943
4urz_ligand,5.762522
4v01_ligand,9.282559
4v24_ligand,8.371004
4v27_ligand,4.091386
4w9c_ligand,5.36489
4w9d_ligand,5.687324
4w9f_ligand,5.717471
4w9h_ligand,5.84827
4w9i_ligand,5.975594
4w9j_ligand,5.795293
4w9o_ligand,6.002962
4w9k_ligand,6.286342
4w9l_ligand,5.860418
4w9p_ligand,6.263658
4w52_ligand,3.725609
4wiv_ligand,5.619054
4wa9_ligand,7.555968
4w97_ligand,7.230205
4wk1_ligand,8.606562
4wkb_ligand,6.180931
4wn5_ligand,5.228614
4wkn_ligand,6.01478
4wko_ligand,5.869413
4wop_ligand,4.955367
4wkp_ligand,5.393394
4wov_ligand,5.297067
4wt2_ligand,7.192852
4wrb_ligand,6.18
4x5p_ligand,5.093768
4x5q_ligand,6.231349
4x5r_ligand,5.125029
4x5y_ligand,6.279765
4x5z_ligand,5.973878
4x6m_ligand,7.683629
4x6n_ligand,8.036613
4x6o_ligand,7.343196
4x8o_ligand,10.524348
4x8u_ligand,3.815418
4x50_ligand,5.777412
4x8v_ligand,6.28206
4x24_ligand,6.77371
4xaq_ligand,5.958827
4xar_ligand,5.856122
4xip_ligand,7.391716
4xiq_ligand,8.365594
4xas_ligand,6.453013
4xir_ligand,8.066782
4xit_ligand,8.902581
4xk9_ligand,11.917647
4xmb_ligand,7.14651
4xo8_ligand,4.094809
4xoc_ligand,4.243732
4xmr_ligand,4.33107
4xoe_ligand,4.543336
4xt2_ligand,8.478336
4xtv_ligand,9.311701
4xtw_ligand,8.621327
4xtx_ligand,8.711694
4xty_ligand,9.228006
4xtz_ligand,8.737529
4xu0_ligand,8.517881
4xu1_ligand,9.201158
4xu2_ligand,8.095469
4xu3_ligand,6.82893
4xy8_ligand,5.251774
4xya_ligand,5.431694
4xxh_ligand,6.390022
4y0a_ligand,4.047661
4y3j_ligand,2.487852
4y3y_ligand,2.067405
4y2q_ligand,4.570755
4y4j_ligand,2.071928
4y5d_ligand,6.659831
4y8x_ligand,7.238138
4y79_ligand,5.193548
4y59_ligand,5.58184
4ybk_ligand,6.97706
4yb5_ligand,4.436994
4yc0_ligand,5.84239
4yes_ligand,6.929963
4yk0_ligand,4.264677
4yhm_ligand,5.878724
4yho_ligand,6.866048
4ykj_ligand,3.346657
4ykk_ligand,2.933167
4ymb_ligand,5.75132
4ymg_ligand,6.105872
4ymh_ligand,6.484934
4yml_ligand,6.315029
4ymx_ligand,5.161246
4ymq_ligand,6.987097
4ynl_ligand,4.0075
4ynb_ligand,7.007089
4ytc_ligand,6.43349
4yth_ligand,5.966562
4ysl_ligand,3.828196
4yzu_ligand,6.538886
4z0k_ligand,7.032185
4z2b_ligand,8.150022
4z93_ligand,6.531334
4z07_ligand,6.366928
4z83_ligand,6.219413
4z84_ligand,5.781833
4zae_ligand,6.948556
4zb6_ligand,4.90085
4zbf_ligand,7.681957
4zbi_ligand,7.849985
4zb8_ligand,4.885535
4zba_ligand,4.964348
4zcs_ligand,6.238534
4zgk_ligand,4.621173
4zeb_ligand,6.50371
4zei_ligand,5.15901
4zec_ligand,6.154699
4zek_ligand,5.152368
4zip_ligand,7.008094
4zji_ligand,7.909553
4zls_ligand,6.212053
4zv1_ligand,5.256877
4zt8_ligand,2.168182
4zow_ligand,3.74846
4zl4_ligand,6.070909
4zv2_ligand,4.579714
4zyf_ligand,6.971466
4zvi_ligand,4.438218
4zzd_ligand,4.62011
4zzx_ligand,5.653834
4zzy_ligand,7.906122
5a2i_ligand,3.282258
5a5q_ligand,3.661672
5a81_ligand,4.636694
4zzz_ligand,5.478548
5a6x_ligand,3.81934
5aan_ligand,4.472463
5aa9_ligand,7.810117
5acy_ligand,6.355858
5ahw_ligand,6.850022
5a6k_ligand,4.768908
5afv_ligand,3.690645
5am6_ligand,5.849729
5alb_ligand,7.791166
5am7_ligand,5.604648
5ant_ligand,5.591628
5anv_ligand,6.415894
5anu_ligand,7.189472
5aut_ligand,6.216826
5aqz_ligand,4.920748
5ave_ligand,3.900279
5avf_ligand,3.897837
5ayt_ligand,5.074252
5b5f_ligand,5.905198
5b5g_ligand,5.09846
5bry_ligand,5.726738
5boj_ligand,4.122383
5b2d_ligand,4.350762
5bs4_ligand,6.204062
5btv_ligand,3.069384
5btx_ligand,3.981525
5bw4_ligand,5.589611
5c1m_ligand,8.180975
5bv3_ligand,6.188966
5bwc_ligand,4.704509
5c8n_ligand,5.475696
5cap_ligand,5.684245
5caq_ligand,5.799641
5cas_ligand,6.24868
5cau_ligand,6.206848
5cc2_ligand,6.019003
5cbr_ligand,6.577375
5cep_ligand,5.876158
5cbs_ligand,5.737874
5ceq_ligand,5.787742
5cj6_ligand,6.464457
5chk_ligand,6.773152
5cp5_ligand,6.15478
5cp9_ligand,2.010125
5cqt_ligand,5.504553
5cks_ligand,3.840396
5cqu_ligand,4.235235
5cs6_ligand,2.322287
5cs3_ligand,3.047977
5cso_ligand,4.860645
5csp_ligand,4.509751
5cst_ligand,4.82563
5cy9_ligand,4.956063
5d0c_ligand,5.202361
5cu4_ligand,7.442625
5ct2_ligand,3.518812
5d3h_ligand,4.326694
5d3j_ligand,4.743732
5d0r_ligand,5.504084
5d3l_ligand,4.556356
5d3n_ligand,5.17967
5d3p_ligand,5.593394
5d3t_ligand,4.90816
5d3x_ligand,3.594128
5d24_ligand,5.694626
5d25_ligand,4.676298
5d26_ligand,4.733629
5d21_ligand,3.605279
5d6j_ligand,7.837097
5d45_ligand,6.98063
5d48_ligand,6.925623
5d47_ligand,5.086547
5dbm_ligand,5.667639
5dey_ligand,7.818548
5dfp_ligand,7.284333
5dex_ligand,5.604326
5dgu_ligand,6.318915
5dgw_ligand,5.852749
5dhu_ligand,5.888109
5dit_ligand,5.690887
5dkn_ligand,3.644538
5dlx_ligand,5.448966
5dq8_ligand,5.549186
5dnu_ligand,4.925154
5dqe_ligand,4.645557
5dqc_ligand,8.331745
5dus_ligand,7.120264
5duw_ligand,3.131239
5dwr_ligand,7.701151
5dqf_ligand,4.496239
5dx4_ligand,4.753262
5e1s_ligand,6.292493
5dyo_ligand,7.521965
5e2o_ligand,6.452434
5e2p_ligand,7.349824
5dxt_ligand,6.709714
5e6o_ligand,4.927911
5e7n_ligand,3.701356
5e2l_ligand,5.137984
5e8f_ligand,3.54706
5e13_ligand,4.230652
5e73_ligand,5.34033
5e74_ligand,5.156657
5e89_ligand,4.953702
5edb_ligand,6.63926
5ect_ligand,6.403321
5edc_ligand,6.537111
5edl_ligand,4.840718
5edd_ligand,5.650858
5efa_ligand,4.015337
5efc_ligand,3.752082
5egu_ligand,5.197779
5egm_ligand,7.648336
5ei3_ligand,5.276371
5eis_ligand,4.949252
5ehr_ligand,7.48915
5ehq_ligand,10.429223
5el9_ligand,3.849069
5elw_ligand,3.944575
5eng_ligand,4.483167
5epl_ligand,5.810176
5ep7_ligand,4.174128
5en3_ligand,4.128666
5eq1_ligand,3.947837
5er1_ligand,4.399853
5er2_ligand,6.04033
5er4_ligand,3.090579
5eqe_ligand,5.345806
5eqp_ligand,4.527845
5eqy_ligand,6.053182
5etb_ligand,4.417295
5eu1_ligand,5.838893
5ewk_ligand,5.203695
5ewy_ligand,5.132625
5evz_ligand,6.345982
5exm_ligand,6.60577
5etj_ligand,6.175359
5exn_ligand,7.29217
5exw_ligand,7.813864
5ey0_ligand,4.948248
5ey4_ligand,4.015557
5f1h_ligand,6.088292
5eyr_ligand,7.541994
5f0f_ligand,6.871547
5f1v_ligand,2.220205
5f1r_ligand,7.404648
5f2p_ligand,4.447053
5f2u_ligand,5.346796
5f1x_ligand,7.572837
5f2r_ligand,7.143556
5f5z_ligand,6.5236
5f8y_ligand,3.402353
5f25_ligand,5.114582
5f08_ligand,7.536613
5f60_ligand,5.771987
5f9b_ligand,4.042441
5f61_ligand,6.720205
5f62_ligand,5.821562
5f63_ligand,6.469472
5f74_ligand,4.358182
5fbi_ligand,3.858013
5fck_ligand,7.063402
5fe6_ligand,3.984172
5fe7_ligand,3.968526
5fe9_ligand,4.939553
5fh7_ligand,6.09393
5fh8_ligand,5.636664
5fhn_ligand,8.963959
5fho_ligand,7.905323
5fnc_ligand,5.004809
5fnd_ligand,4.351466
5fnf_ligand,4.529472
5fnr_ligand,5.743651
5fns_ligand,6.373196
5fnt_ligand,7.512434
5fog_ligand,4.781371
5fnu_ligand,8.416246
5fot_ligand,4.448482
5fol_ligand,6.006569
5fou_ligand,4.520704
5fov_ligand,3.839003
5fs5_ligand,3.855682
5fox_ligand,4.327023
5fpk_ligand,4.786085
5fsn_ligand,4.203842
5fso_ligand,3.469978
5fsc_ligand,2.444421
5fsx_ligand,5.742845
5fsy_ligand,7.261195
5ftg_ligand,5.840418
5fto_ligand,8.509765
5fyx_ligand,4.247845
5fut_ligand,4.915748
5g2g_ligand,6.299355
5g1z_ligand,4.252955
5g45_ligand,4.486114
5g5f_ligand,2.512478
